Title;Url;Berita
Demokrat: Kalau Deddy Mizwar Keluar, Kita Ucapkan Selamat Jalan;https://www.viva.co.id/berita/politik/1072269-demokrat-kalau-deddy-mizwar-keluar-kita-ucapkan-selamat-jalan;"VIVA – Partai Demokrat menyatakan tak masalah untuk melepas kadernya yang tak sama sikap politiknya dalam arah dukungan Pilpres 2019. Hal ini termasuk jika harus melepas Deddy Mizwar yang bakal menjadi juru bicara Joko Widodo dan Ma'ruf Amin. ""Kalau enggak pas dengan pikiran kita, kan dia harus keluar,"" kata Sekretaris Jenderal Hinca Panjaitan di Gedung DPR, Senayan, Jakarta, Kamis, 6 September 2018. Meski demikian, Hinca mengatakan menghormati sikap Deddy yang tidak mendukung Prabowo Subianto-Sandiaga Uno, pasangan yang diusung Demokrat. Hinca mengaku akan mengucapkan selamat jalan jika Deddy keluar dari partai. ""Kalau dia meninggalkan partai ini, misalnya, toh tentu kita ucapkan selamat jalan,"" ujar Hinca. Menurut Hinca, hingga kini belum ada surat keputusan dari Demokrat mengenai keluarnya Deddy. Jika Deddy benar-benar jadi keluar dari Demokrat, Hinca mengaku tidak khawatir. ""Semoga selamat sampai tujuan, cita-cita dicapai. Karena di Demokrat pergi satu tumbuh seribu,"" kata Hinca. Sebelumnya, politikus Demokrat Deddy Mizwar berharap, sikap politiknya yang mendukung pasangan Jokowi-Ma'ruf di Pilpres 2019 bisa dihargai Partai Demokrat. Tawaran menjadi juru bicara Tim Kampanye Nasional (TKN) juga sudah diterima. ""Artinya ini adalah sikap politik yang harus dihargai, harus ada etika dalam melakukan keputusan politik,"" kata Denny Mizwar di Posko Rumah Cemara, Jakarta, Sabtu, 1 September 2019. (ase)     "
Sandiaga Ajak Presiden Jokowi Tukarkan Dolar AS ke Rupiah;https://www.viva.co.id/berita/nasional/1072267-sandiaga-ajak-presiden-jokowi-tukarkan-dolar-as-ke-rupiah;"VIVA – Bakal calon Wakil Presiden Sandiaga Salahuddin Uno, melakukan aksi penukaran asetnya yang berbentuk dolar Amerika Serikat ke dalam rupiah. Hal ini dilakukan Sandi untuk menguatkan nilai tukar rupiah yang saat ini sedang melemah. Sandi melakukan aksi tukar dolarnya secara simbolik di Money Changer Dua Sisi, Plaza Senayan, Gelora, Jakarta Pusat. Sandiaga menukarkan uangnya sebanyak US$1.000 dan mendapatkan sekitar Rp14.700.000. Sandiaga berharap langkahnya ini diikuti oleh para orang kaya dan pejabat pemerintah di Indonesia. Sebab hal ini merupakan salah satu cara yang dapat dilakukan untuk mengendalikan rupiah. ""Saya berharap diikuti juga mulai dari pimpinan tertinggi republik ini mulai dari Pak Presiden sampai pengusaha-pengusaha juga. Emak-emak juga, kepada millennials, teman-teman politisi juga. Pastikan kalau mereka kunjungan kerja ke luar negeri, kan masih ada sisa dolar. Yuk kita gunakan dengan secara masif melakukan gerakan ini,"" kata Sandiaga. Sandiaga tak peduli apabila aksinya menukarkan dolar tersebut dianggap pencitraan oleh sebagian kalangan. Menurutnya, apa pun yang bisa dia lakukan untuk menguatkan rupiah, hal itu akan dilakukan. ""Kayaknya kita perlu pencitraan seperti ini, it's ok. Kalau politisi bilangnya pencitraan, ya pencitraan, tapi ini simbolis menunjukkan bahwa kita bisa melakukan. Berapa jumlahnya terserah kita, tapi ini bentuk daripada kepedulian kita,"" tuturnya. Sandi mengaku tidak bisa membiarkan mata uang rupiah terus melemah. Karena hal tersebut dapat berdampak negatif bagi perekonomian bangsa dan akan membuat rakyat semakin menderita. ""Jangan sampai gejolak dolar yang dipicu keadaan ekonomi kita ini bisa berujung kepada pemutusan hubungan kerja, sehingga lapangan kerja semakin sulit untuk masyarkat khususnya kalangan menengah ke bawah,"" tuturnya. "
1.150 Barang Dibatasi Masuk RI, Potensi Impor Berkurang US$20 Miliar;https://www.viva.co.id/berita/bisnis/1072261-1-150-barang-dibatasi-masuk-ri-potensi-impor-berkurang-us-20-miliar;"VIVA – Defisit transaksi berjalan yang saat ini sedang dihadapi perekonomian nasional, membutuhkan peningkatan kinerja ekspor sebagai upaya mengimbangi tingginya angka impor. Menteri Koordinator Bidang Kemaritiman, Luhut Panjaitan menjelaskan, saat ini pemerintah juga tengah menggenjot sejumlah hal, guna memastikan bahwa proses pengambilan keputusan tim ekonomi di kabinet bisa berjalan dengan efektif dan efisien. ""Dengan kelapa sawit biodiesel (B20) kita mengurangi impor crude palm oil atau solar. Itu juga akan membuat ekonomi kita tambah bagus,"" kata Luhut di kawasan Thamrin, Jakarta Pusat, Kamis 6 September 2018. Selain itu, Luhut memastikan bahwa efisiensi pengurangan impor akan dilakukan pemerintah dengan terus menaikkan tingkat kandungan dalam negeri atau TKDN, yang menurutnya bisa menghasilkan penghematan hingga US$2 miliar. ""Tetapi impor ini tidak bisa cepat-cepat ditutup karena bisa menimbulkan perlambatan ekonomi juga. Kita harus melakukannya secara bertahap dan secara jernih melihat apa yang harus segera dilakukan,"" kata Luhut. Selain itu, pemerintah telah mendaftar 1.150 item barang impor yang dinilai tidak perlu, dengan nilai hampir mencapai US$20 miliar. ""Masa kita impor ikan? Masa kita impor kopi? Hal-hal yang enggak perlu terjadi impor bisa kita produksi sendiri. Nah itu kita ingin 'taking out' dan gunakan produk dalam negeri sehingga current account deficit kita nanti bisa membaik,"" kata Luhut. ""Kemudian, pemerintah juga akan terus menggenjot dan mendorong sektor pariwisata, serta mengintegrasikan seluruh industri sehingga juga bisa efektif membantu mengurangi impor,"" ujarnya. "
Dukung Jokowi, Lukas Enembe Diproses di Komisi Pengawas Demokrat;https://www.viva.co.id/berita/politik/1072260-dukung-jokowi-lukas-enembe-diproses-di-komisi-pengawas-demokrat;"VIVA – Gubernur terpilih Provinsi Papua dan kader Partai Demokrat Lukas Enembe memilih mendukung Joko Widodo dan Ma'ruf Amin di Pemilihan Presiden 2019. Sekretaris Jenderal Demokrat Hinca Panjaitan mengatakan soal itu pasti akan diselesaikan di Komisi Pengawas. ""Itu di Komisi Pengawas Demokrat nanti. Biarkan Demokrat menjalankan roda organisasi dengan pas,"" kata Hinca di Gedung DPR, Senayan, Jakarta, Kamis, 6 September 2018. Hinca mengatakan perbedaan pendapat di partai politik merupakan sesuatu yang biasa. Namun, soal perbedaan itu menurutnya pasti diselesaikan di internal partai nanti. ""Teman-teman sekian, dalam rumah tangga saja dalam satu bapak satu ibu ada perbedaan pendapat, apalagi di parpol besar. Suasana seperti ini pada waktunya nanti akan clear sekali pandangan politik itu,"" kata Hinca. Demokrat menurutnya saat ini tidak ingin terlalu memusingkan soal sikap Lukas tersebut. Demokrat katanya lebih ingin fokus pada pemenangan pemilihan legislatif dan pilpres nanti. ""Karena serentak semua parpol baik mendukung sebelah sana sebelah sini kerja ganda, yaitu menyukseskan pilegnya dan pilpres,"" ujar Hinca. Sebelumnya, Lukas Enembe menyatakan siap menerima segala risiko atas keputusannya mendukung Jokowi tersebut. Termasuk jika dipecat Partai Demokrat sebagai kader. Hal itu dikatakan Luka Enembe, yang juga Ketua Demokrat Papua, usai pleno Komisi Pemilihan Umum terkait penetapan Gubernur dan Wakil Gubernur Papua terpilih di Jayapura, Senin, 13 Agustus 2018. ""Demokrat Papua siap mendukung Jokowi untuk memimpin RI yang kedua periode, dan semua kader Demokrat sudah menyatakan sikap akan hal itu,"" kata Lukas. (ase) "
Apa Kabar Rumah DP Rp0 yang Digagas Anies Baswedan;https://www.viva.co.id/berita/metro/1072257-apa-kabar-rumah-dp-rp0-yang-digagas-anies-baswedan;"VIVA – Gubernur DKI Jakarta Anies Rasyid Baswedan mengatakan, program rumah dengan uang muka atau down payment (DP) Rp0 terus dijalankan oleh Pemerintah Provinsi DKI Jakarta. ""Jalan terus kok. Begini, kalau tidak ada berita bukan berarti tidak ada pergerakan. Kalau kita tidak mengumumkan, bukan berarti tidak ada. Jalan terus. Dan justru kalau kita banyak berkabar, apa yang dikerjakan. Itu jalan terus,"" kata Anies di kawasan Ancol, Jakarta Utara, Kamis 6 September 2018. Mantan menteri Pendidikan dan Kebudayaan ini mengatakan, penjualan rumah DP Rp0 langsung dilakukan setelah pembangunan rampung. Namun, Anies tak menyebut kapan waktunya pastinya. ""Nanti begitu siap semua dibangun. Jangan khawatir,"" ujar Anies. Anies menambahkan, program rumah DP Rp0 merupakan salah satu program prioritas yang menjadi janji kerjanya saat kampanye Pilkada DKI Jakarta 2017. ""Itu jalan terus. Itu program prioritas kok. Dan saya sampaikan itu didebat dulu, bulan Januari, saya sampaikan, DP Rp0 itu pengalaman pribadi saya ketika mulai di Jakarta, pindah ke Jakarta dari nol. Kalau dulu tidak ada support, tanpa DP mana mungkin saya bisa punya rumah. Jadi dari pengalaman pribadi itu, saya merasa banyak sekali nanti yang akan mendapat solusi yang sama,"" ujar Anies. Pembangunan program rumah DP Rp0 tahap pertama telah diresmikan di Pondok Kelapa, Jakarta Timur, Kamis, 18 Januari 2018. Perumahan tersebut berlokasi di Jalan Haji Naman, Pondok Kelapa, Jakarta Timur, dengan konsep bangunan berupa apartemen. Untuk tahap kedua, peletakan batu pertama pembangunan rumah itu semula akan dilaksanakan pada 28 Februari 2018. Berlokasi di Jalan Malaka IV, Rorotan, Cilincing, Jakarta Utara, menurut Wakil Gubernur DKI Jakarta saat itu, Sandiaga Uno, rumah yang dibangun berkonsep rumah tapak.   Namun, rencana peresmian tahap kedua itu ditunda. Sebab, ada beberapa hal yang ternyata belum siap dalam peresmian rumah tersebut. "
Erick Thohir Masuk Top List Calon Ketua Timses Jokowi;https://www.viva.co.id/berita/politik/1072255-erick-thohir-masuk-top-list-calon-ketua-timses-jokowi;"VIVA – Wakil Ketua Tim Kampanye Nasional (TKN) Jokowi-Ma'ruf Amin, Arsul Sani mengatakan pengusaha Erick Thohir memang masuk ke dalam daftar utama calon ketua timses. Erick dianggap dekat dengan generasi milenial. ""Saya ditanya media sepanjang pagi ini, apakah benar Pak Erick Thohir? Yang bisa saya katakan, Pak Erick Thohir memang berada di dalam top list bersama satu dua nama yang lain,"" kata Arsul di gedung DPR, Jakarta, Kamis 6 September 2018. Terkait pernyataan Ma'ruf Amin yang sempat memastikan Erick sebagai ketua timses, ia menegaskan hal itu memang tak salah. Sebab, komunikasi sejauh ini dilakukan antara timses dengan Erick. Meski begitu, keputusan final tetap harus menunggu Jokowi mengumumkannya secara langsung pada pekan ini. Figur Erick menjadi kandidat karena dekat dengan generasi milenial juga dianggap memiliki track record mumpuni di bidang kepemimpinan maupun manajerial. ""Siapapun yang pada akhirnya memang secara final diumumkan Jokowi sebagai ketua TKN itu nanti kan juga bukan sosok pekerja tunggal karena selama ini di TKN itu juga sifat kolektif kolegialnya lebih menonjol,"" kata Arsul. Ia menambahkan meski komunikasi dengan Erick sudah dijalin. Namun, ia belum mengetahui kesediaan Erick. Meskipun mendapatkan posisi ketua timses merupakan suatu kehormatan. ""Saya yakin siapapun yang ditunjuk itu tidak akan menolak kecuali karena ada alasan-alasan misalnya karena secara peraturan perundangan tak diperbolehkan,"" kata Arsul.   "
Luhut Pastikan Proyek Kelistrikan Ditunda, Tunggu Rupiah 'Tenang';https://www.viva.co.id/berita/bisnis/1072253-luhut-pastikan-proyek-kelistrikan-ditunda-tunggu-rupiah-tenang;"VIVA – Sejumlah proyek infrastruktur pemerintah mengalami penundaan sebagai dampak dari pelemahan nilai tukar rupiah terhadap dolar Amerika Serikat. Menteri Koordinator Bidang Kemaritiman, Luhut Panjaitan mengatakan, salah satu proyek yang terdampak akibat pelemahan nilai tukar rupiah itu adalah proyek kelistrikan. Dia menjelaskan, alasan di balik penundaan sejumlah proyek terkait kelistrikan itu adalah karena pemerintah menilai, untuk saat ini, infrastruktur dan sumber daya kelistrikan utamanya di Pulau Jawa sudah cukup memadai. ""Jadi kita me-reschedule beberapa proyek listrik. Karena kebetulan listrik ini, supaya jangan salah pengertian, di Jawa juga cukup untuk saat ini,"" kata Luhut di sebuah hotel kawasan Thamrin, Jakarta Pusat, Kamis 6 September 2018. Saat ditanya berapa lama kiranya penundaan proyek tersebut akan dilakukan, Luhut memastikan jika hal itu tak akan lebih dari rentang waktu satu tahun ke depan.  ""Jadi mungkin sekitar enam bulan atau satu tahun, sambil menenangkan dulu masalah currency ini,"" ujarnya. Mengenai proyek lain yang juga dihentikan atau ditunda sebagai dampak pelemahan rupiah tersebut, Luhut mengaku bahwa hingga saat ini penundaan baru terjadi pada sejumlah proyek saja. Sebab, pemerintah memastikan bahwa proyek yang harus di-hold sementara memang proyek-proyek yang secara finansial atau pembiayaan masih belum mencapai 'goals', sesuai tujuan dan perencanaannya. ""Belum, kita lihat lagi. Sampai sekarang kita baru lihat itu.  Jadi itu pun (proyek yang ditunda) saya kira terbatas, mungkin jumlahnya berapa ribu megawatt saja, itu pun yang belum signing atau belum financial goals,"" ujarnya. "
Pertamina Mulai Kelola Blok SES, Ini Sisa Cadangannya;https://www.viva.co.id/berita/bisnis/1072252-pertamina-mulai-kelola-blok-ses-ini-sisa-cadangannya;"VIVA – PT Pertamina resmi mengelola blok migas Southeast Sumatra (SES) yang berlokasi di pulau Pabelokan, Kabupaten Kepulauan Seribu per hari ini, Kamis 6 September 2018. Perusahaan asal China yang menjadi Operator blok migas SES sebelumnya, CNOOC SES Ltd, memutuskan untuk tidak lagi menjadi pengelola wilayah kerja migas tersebut. Blok yang berlokasi sejauh 90 km dari pantai utara Ibu Kota itu diketahui usianya telah mencapai 50 tahun dan telah berkali-kali berganti operator. Lantas berapa cadangan tersisa yang akan digarap Pertamina selama 20 tahun ke depan? Direktur Hulu Pertamina Dharmawan Samsu mengungkapkan, cadangan minyak di blok tersebut tercatat sebesar 57 juta barel sedangkan cadangan gas di blok tersebut sebesar 151 miliar kaki kubik atau Billion Cubic Feet (BCF). ""Jadi, cukup besar hanya saja perlu saya sampaikan bahwa ini sudah tersebar ke dalam pool yang kecil-kecil,"" kata Dharmawan di Pulau Pabelokan, Kabupaten Kepulauan Seribu Jakarta, Kamis 6 September 2018. Untuk itu, dia mengakui butuh kemampuan khusus dari tim untuk bisa mengelola secara optimal dan mengambil sumber daya yang ada di blok SES itu karena usia blok migas yang sudah bisa dibilang tua itu. ""Jadi nanti dibutuhkan kejelian dari tim untuk bisa mengintegrasikan semua ini bagaimana caranya supaya bisa disinergikan dan diintegrasikan dan programnya dilakukan secara ekonomis,"" katanya. Tantangan Besar Diakui Dharmawan, tantangan pengembangan lapangan migas tua termasuk cukup besar. Namun pihaknya optimistis bisa optimal mengelola blok tersebut dengan keuletan dan kerja sama tim. ""Jadi ini tantangan buat lapangan yang cukup tua usianya dan itu adalah hal yang umum terjadi. Kuncinya adalah keuletan untuk bisa memetakan bagaimana potensi ini bisa dikembangkan,"" ujarnya. Perlu diketahui, blok Southeast Sumatra ini merupakan salah satu pionir dalam kontrak bagi hasil migas di lepas pantai di Indonesia dan salah satu penghasil minyak dan gas bumi terbesar di Indonesia. Kontrak bagi hasil blok SES ditandatangani pertama kali pada 6 September 1968 atau kini telah berusia 50 tahun. Selama beroperasi, WK SES disebut pernah mengalami masa puncak produksi pada Juli 1991 dengan produksi harian sebesar 244.340 barel per hari (bph). Namun hingga Agustus 2018, tercatat produksi minyak dan gas bumi di WK SES adalah sebesar 31.120 bph dan gas sebesar 137,5 juta standard kaki kubik per hari (mmscfd). ""Dengan masuknya sejumlah alih kelola WK migas ke PHE termasuk WK SES ini dibantu dengan dukungan dari para stakeholder kami mencita-citakan produksi migas PHE secara keseluruhan dapat menembus lebih dari 200 ribu barel equivalent per hari pada 2018 ini,"" kata Dharmawan. (ren) "
Sertijab Gubernur dan Wagub Jabar, Ridwan Kamil-Uu Diarak Lengser;https://www.viva.co.id/berita/nasional/1072251-sertijab-gubernur-dan-wagub-jabar-ridwan-kamil-uu-diarak-lengser;"VIVA – Penjabat (Pj) Gubernur Jawa Barat, Komjen Pol Muhammad Iriawan melakukan serah terima jabatan (Sertijab) dengan Gubernur dan wakil Gubernur Jawa Barat baru periode 2018-2023 Ridwan Kamil-Uu Ruzhanul Ulum. Sertijab dilaksanakan di halaman Gedung Sate, Kamis, 6 September 2018, disaksikan langsung jajaran Muspida Jawa Barat dan diwarnai dengan lengser kebudayaan Sunda. ""Selamat datang Gubernur Jawa Barat dan Wakil Gubernur Jawa Barat, selamat bekerja,"" ujar Sekretaris Daerah Provinsi Jawa Barat, Iwa Karniwa saat menyambut kedatangan Ridwan Kamil di Gedung Sate Kota Bandung, Kamis 6 September 2018. Dalam sertijab tersebut, sekaligus perpisahan langsung Pj Iriawan dengan ASN Pemerintah Provinsi Jawa Barat. Iriawan mengaku meminta maaf jika masih terdapat kekurangan selama menjalankan roda pemerintahan Provinsi. Iriawan memaparkan pekerjaan yang yang harus dipanjutkan Ridwan Kamil dan Uu Ruzhanul Ulum. Di antaranya, Bandara Internasional Jawa Barat (BIJB) Kertajati Kabupaten Majalengka, Pelabuhan Patimban Kabupaten Subang, perencanaan pembangunan bandara Cikembar Sukabumi. ""Terima kasih, ada beberapa proyek strategis yang seharusnya bulan ini, seperti Patimban. Namun tidak jadi, selebihnya memohon maaf kalau belum ada yang sempurna,"" ujarnya. "
Prabowo: Gus Dur, Gus Solah Semua Sahabat-sahabat Saya;https://www.viva.co.id/berita/politik/1072250-prabowo-gus-dur-gus-solah-semua-sahabat-sahabat-saya;"VIVA – Bakal Calon Presiden Prabowo Subianto berziarah ke makam para pendiri Nahdlatul Ulama di Jombang dan Bangkalan, Madura, Jawa Timur pada Kamis, 6 September 2018. Dia mengaku sering berziarah ke makam para ulama dan tokoh NU karena merasa dekat dengan lingkungan warga Nahdliyin. ""Saya dari dulu dekat sama NU. Dari dulu saya kenal baik dengan Gus Dur, Gus Solah, Pak Ud, semua bisa dikatakan sahabat-sahabat saya,"" kata Prabowo seusai berziarah di makam keluarga pendiri NU, KH Hasyim Asyari, di kompleks Pondok Pesantren Tebu Ireng, Jombang, pada Rabu pagi. Ketua Umum Partai Gerindra itu menyebut bahwa Gus Dur dan tokoh-tokoh di lingkarannya sebagai rekan seperjuangan. ""Mereka pahlawan-pahlawan berjasa kepada negara. Mereka tokoh Islam yang nasionalis,"" sebut Prabowo. Dia tak menampik ketika ditanya tujuan jalinan silaturrahim dengan NU itu dilakukan untuk menarik simpati dan dukungan pada Pemilihan Presiden 2019. Menurut Prabowo, dalam negara demokrasi mencari dukungan rakyat adalah wajar. ""Dan warga Nahdliyin bagian dari itu (rakyat),"" ucapnya. Setelah dari Tebu Ireng, Prabowo dan rombongan bergeser ziarah ke makam KH Wahab Chasbullah di Ponpok Pesantren Bahrul Ulum Tambak Beras, Jombang. Sesuai jadwal, dari Jombang dia akan berziarah ke pusara ulama dan guru dari pendiri NU, Syaikhona Kholil Bangkalan, Madura. Sekretaris DPD Gerindra Jatim, Anwar Sadad, mengatakan bahwa Prabowo mengakui NU sangat berperan dalam berdirinya Republik Indonesia. Tokoh-tokoh NU berperan aktif dalam perjalanan panjang bangsa ini. Hal itu yang menjadi alasan Prabowo ziarah ke makam para pendiri NU. ""Sehingga merasa perlu mengambil spirit-nya untuk melanjutkan perjuangan ke depan,"" ujar Anwar. (ren) "
