Title;Url;Berita
Asian Para Games, Multievent Sarat Nilai Humanisme;https://www.viva.co.id/sport/gelanggang/1072024-asian-para-games-multievent-sarat-nilai-humanisme;"VIVA – Setelah Asian Games 2018, Indonesia kembali menjadi tuan rumah ajang multievent besar Asia. Asian Para Games 2018 jadi ajang multievent berikutnya yang bakal digelar di Indonesia. Ini multievent yang berbeda dari Asian Games. Perbedaannya adalah dari segi atlet. Mereka yang berlaga adalah atlet difabel. Jadi, selain atmosfer persaingan, ada juga nilai humanisme yang terkandung di dalamnya. ""Pemerintah dan INAPGOC sedang bersiap untuk menyambut Asian Para Games. Jadi, masyarakat yang belum move on dari Asian Games, tak perlu khawatir,"" kata Menteri Pemuda dan Olahraga, Imam Nahrawi. ""Nantinya, persaingan tak akan kalah seru. Sebab, ada nilai humanisme dan menyentuh hati. Pastinya atraktif,"" lanjutnya. Asian Para Games hanya akan digelar di Jakarta. Ada 41 negara anggota Asian Paralympic Committee yang akan meramaikan dan mengirimkan atlet-atletnya ke 18 cabang olahraga di Asian Para Games. (one) "
UFC Seru tvOne: Best of the Best Lightweight;https://www.viva.co.id/sport/onepride/1072015-ufc-seru-tvone-best-of-the-best-lightweight;"VIVA – Pertarungan di kelas ringan selalu menarik unuk ditonton. Bisa dikatakan, di Ultimate Fighting Championship, kelas ringan menjadi salah satu neraka. Banyak petarung papan atas yang bertarung di kelas ini. Sebut saja Khabib Nurmagomedov, Conor McGregor, Tony Ferguson, dan tentunya sang mantan juara, Eddie Alvarez. Kali ini, tvOne bakal menyajikan kumpulan pertarungan dari kelas ringan dalam UFC Seru edisi Rabu 5 September 2018. Sebanyak empat laga sengit bakal jadi sajian utama UFC Seru tvOne yang disiarkan mulai pukul 23.00 WIB. Salah satu duel yang disiarkan adalah McGregor versus Alvarez. Partai ini dikenal sebagai salah satu yang paling menarik perhatian. Sebab, di laga kontra Alvarez, McGregor mampu mencetak sejarah dengan mengawinkan sabuk juara kelas ringan dan bulu. Masih ada tiga laga seru lainnya. Berikut ini adalah daftar duel UFC Seru, Rabu 5 September 2018: 1. Conor McGregor vs Eddie Alvarez
2. Tony Ferguson vs Kevin Lee
3. Anthony Pettis vs Michael Chiesa
4. Edson Barboza vs Paul Felder
(one) "
Usai Asian Games 2018, INASGOC Kembalikan Fasilitas Negara;https://www.viva.co.id/sport/gelanggang/1071972-usai-asian-games-2018-inasgoc-kembalikan-fasilitas-negara;"VIVA – Panitia Asian Games 2018 (INASGOC) akan mengembalikan seluruh fasilitas yang digunakan untuk kegiatan multievent olahraga terbesar di Asia ini. Hal itu dikatakan oleh Sekjen INASGOC, Eris Herryanto.  Asian Games Jakarta-Palembang berlangsung pada 18 Agustus-2 September 2018. Prestasi Indonesia di AG18 cukup membanggakan dengan menempati peringkat 4 dan meraih 31 emas, 24 perak dan 43 perunggu.  ""Untuk fasilitas kita kembalikan semua. Karena kami kan menyewa ya fasilitas tersebut, jadi ya dikembalikan,"" kata Eris saat dihubungi VIVA, Rabu, 5 September 2018.  Eris menyebutkan, fasilitas yang disewa oleh INASGOC tersebut berasal dari tiga pihak. Pemerintah Pusat, Pemerintah Daerah dan swasta.  ""Misalnya untuk wisma atlet tersebut kami menyewa. Kemudian Stadion Utama Gelora Bung Karno tersebut kami juga menyewa dari PPK-GBK. Tentu saja kami membayar sewanya,"" tambah Eris.  ""Dengan selesainya Asian Games ya kami kembalikan. Jadi untuk fasilitas tersebut kepemilikan dan mereka nantinya yang mengelola untuk selanjutnya,"" kata Eris. (one) "
Gemilang di Asian Games, Anthony dan Jojo Siap Tempur di Jepang;https://www.viva.co.id/sport/raket/1071945-gemilang-di-asian-games-anthony-dan-jojo-siap-tempur-di-jepang;"VIVA – Prestasi Indonesia cukup menggembirakan di Asian Games. Namun, itu tak boleh membuat para atlet jemawa, sebab masih ada event yang akan dilakoni dalam waktu dekat.  Ya, para pahlawan bulutangkis Indonesia akan berjuang di Jepang Terbuka yang akan digelar pada 11-16 September 2018. Indonesia diharapkan bisa menunjukkan taji di Negeri Samurai Biru.  Pelatih tunggal putra Indonesia, Hendry Saputra, mengaku anak asuhnya Jonatan Christie dan Anthony Sinisuka Ginting siap tempur. Latihan pun telah dilakukan usai Asian Games. ""Kondisi atlet sejauh ini siap main. Tidak ada strategi khusus, karena kami optimis bisa menampilkan yang terbaik,"" kata Hendry di Jakarta, Rabu 5 September 2018. ""Mereka sudah mulai latihan seminggu yang lalu. Saya harapkan konsistensi mereka dalam permainan dan harus stabil,"" tambahnya. Terkait recovery pemain, menurut Hendry sudah diatur pengurus Persatuan Bulutangkis Seluruh Indonesia (PBSI). Jadi Indonesia tinggal bermain fokus nantinya.  ""Untuk recovery ada tim medis, begitu juga dengan nutrisinya. Jadi Indonesia siap tempur,"" kata dia. (one) "
Jumpa Deni Jadi Momentum Hafid Buktikan Kapasitas di One Pride;https://www.viva.co.id/sport/onepride/1071937-jumpa-deni-jadi-momentum-hafid-buktikan-kapasitas-di-one-pride;"VIVA – Akhir pekan ini, Sabtu 8 September 2018, One Pride Pro Never Quit kembali hadir dengan pertarungan akbar. Bagaimana tidak, sabuk juara kelas bulu akan menemukan pemilik baru. Petarung Pitbull Academy, Hafid Nur Maradi, akan berhadapan dengan Wakil Bengkulu Infight Camp, Deni Arif Fadillah, dalam duel tersebut. Itu setelah Paul Lumihi, pemegang sabuk juara sebelumnya, menyatakan mundur dari One Pride. Hafid, selain berusia lebih senior juga memiliki pengalaman bertarung yang lebih banyak dibandingkan Deni untuk urusan perebutan sabuk juara. Sebelumnya, dia sudah dua kali tampil di laga akbar ini, namun selalu kalah dari Paul Lumihi. Ini jadi kesempatan ketiganya untuk merebut sabuk juara kelas bulu. Untuk itu, dia sangat yakin jika ini adalah momentumnya untuk menjadi juara. ""Saya sudah sangat siap secara fisik dan mental. Ini kesempatan saya untuk membuktikan jadi yang terbaik,"" ujar Hafid kepada VIVA. Berbagai persiapan pun dilakukan, terutama melatih kekuatan fisik. Sebab, duel nanti akan berlangsung selama lima ronde. ""Saya terus menambah menu latihan fisik dan conditioning. Saya akan mengajak Deni bermain-main selama lima ronde,"" tambahnya. (one) "
Keuntungan Asian Games Langsung Masuk Kantong Pemerintah;https://www.viva.co.id/sport/gelanggang/1071931-keuntungan-asian-games-langsung-masuk-kantong-pemerintah;"VIVA – Penyelenggaraan Asian Games 2018, Jakarta-Palembang, sudah usai. Namun, masih ada pekerjaan rumah yang harus dikerjakan usai penyelenggaraan. Berbagai proses pasca-produksi harus segera dirampungkan. Salah satunya adalah menghitung keuntungan. ""Kami belum pikirkan soal keuntungan. Kami cuma mendapatkan anggaran dan menggunakannya. Jadi, kami tak memikirkan untung atau tidak,"" ujar Sekretaris Jenderal INASGOC, Eris Herryanto, kepada VIVA, Rabu 5 September 2018. Eris menyatakan, pihaknya tak tahu berapa pemasukan sebenarnya dari Indonesia selama Asian Games. Sebab, seluruh pemasukan selama Asian Games langsung mengalir ke pemerintah. Uang tersebut mengalir ke Badan Layanan Umum. Pemerintah melalui Bappenas pun sedang mengkaji keuntungan yang didapat dari Asian Games 2018. Bappenas mengaku masih butuh waktu menghitung keuntungan Asian Games. Eris menuturkan, dampak ekonomi Asian Games tak bisa langsung dilihat. Sebab, pihaknya hanya menyentuh keuntungan seputar penjualan tiket dan lainnya. ""Kami saat ini masih membuat laporannya. Nanti, laporan tersebut akan diberikan kepada Dewan Pengawasan dan juga Komite Olimpiade Asia (OCA). Jadi, soal keuntungan ya itu tadi, kami tidak memikirkannya.""  UKM Banjir Rejeki, Kopi Pasar Santa Diburu "
Mahfud MD: Asian Games Sukses Lepaskan Kita dari Sekat Suku dan Agama;https://www.viva.co.id/sport/gelanggang/1071930-mahfud-md-asian-games-sukses-lepaskan-kita-dari-sekat-suku-dan-agama;"VIVA – Sukses dalam penyelenggaraan Asian Games 2018 dengan sejumlah prestasi atlet dengan menyabet 31 emas dan duduk di urutan keempat patut diberikan apresiasi bahkan Asian Games 2018 ini mampu menyatukan bangsa. ""Saya, kita bangga bangga dengan Asian Games 2018 dan kita bisa lepas dari sekat agama suku dan bersatu di Asian Games,"" katanya Mantan Ketua MK Mahfud MD usai acara Dialog Kebangsaan di UII, Rabu 5 September 2018. Guru besar UII ini menyatakan kebersamaan dalam menyukseskan acara Asian Games 2018 patut diacungi jempol. Sebab suksesnya Asian Games membuat nama Indonesia semakin terkenal di dunia. ""Kita bangga bersama indonesia membahana di dunia internasional,"" katanya.
 
Menurutnya sukses Asian Games dapat mengangkat harkat dan martabat bangsa di mata dunia. Keberhasilan penyelenggaraan Asian Games bentuk persatuan bangsa Indonesia.  ""Sudah sukses kita beri selamat kepada negara ini. Kebersamaan kita untuk melancarkan Asian Games,"" katanya. (ren) "
Teror Cyber Ancam Olimpiade 2020 Tokyo;https://www.viva.co.id/sport/gelanggang/1071871-teror-cyber-ancam-olimpiade-2020-tokyo;"VIVA – Sebagai tuan rumah, Jepang sudah berbenah demi bisa menggelar Olimpiade 2020, Tokyo. Berbagai langkah antisipasi sudah diambil oleh Jepang agar bisa menyukseskan gelaran Olimpiade. Salah satu perhatian khusus adalah soal infrastruktur internet. Pihak panitia begitu waspada dengan adanya serangan cyber yang bisa mengganggu jalannya pertandingan di Olimpiade. Mereka berkaca dari serangan cyber di Olimpiade Musim Dingin 2018, Pyeongchang. Kala itu, di Upacara Pembukaan, 9 Februari 2018, koneksi Wi-Fi tiba-tiba mati. Kemudian, beberapa fasilitas broadcast juga mati dan membuat siaran terganggu. Dari hasil penelusuran, ternyata infrastruktur mereka diserang oleh hacker. Insiden ini diharapkan tak terulang di Olimpiade 2020. Pihak Jepang pun membangun infrastruktur kompleks dalam jaringan internet mereka. ""Apa yang terjadi di Pyeongchang, jangan sampai terulang. Kami harus memastikan semuanya sudah berada sesuai jalur,"" kata Direktur Teknologi Olimpiade 2020, Yuko Takeuchi, dilansir Inside The Games. Sebenarnya, serangan hacker sempat membuat situs Olimpiade 2020 mati pada November 2015 lalu. Pada 4 November 2015, situs tak bisa diakses sejak pukul 20.30 waktu setempat hingga keesokan harinya. ""Kami harus belajar dari insiden itu. Kami juga tak menutup-nutupi soal apa yang terjadi,"" terang Takeuchi. (one) "
Peraih Medali Asian Games 2018 Gratis Makan McDonald's Setahun;https://www.viva.co.id/sport/gelanggang/1071866-peraih-medali-asian-games-2018-gratis-makan-mcdonald-s-setahun;"VIVA – Hujan bonus untuk atlet peraih medali emas Asian Games 2018, Jakarta-Palembang, belum berhenti. Setelah dari pemerintah, berbagai pihak swasta juga ikut memberikan apresiasi terhadap prestasi atlet nasional di Asian Games 2018. Terbaru, McDonald's dan Teh Botol Sosro Indonesia memberikan bonus kepada para peraih medali di cabang olahraga bulutangkis dan wushu. Penghargaan yang diberikan berupa logam mulia. Para peraih medali emas diberi 100 gram emas. Sedangkan para peraih medali perak diberikan 70 gram emas, dan perunggu berhak dapat 50 gram emas. Manajer dan pelatih kedua cabang olahraga itu diberikan hadiah serupa. Masing-masing, mereka dapat 25 gram emas. Total, logam mulia yang diberikan sebesar 1.845 gram emas. Bukan hanya itu, seluruh atlet, manajer tim, dan pelatih juga diberikan voucher makan di McDonald's selama setahun. Atlet-atlet penerima penghargaan dari sektor bulutangkis yakni Jonatan Christie, Kevin Sanjaya Sukamuljo, Marcus Gideon, Fajar Alfian, Muhammad Rian Ardianto, Anthony Sinisuka Ginting, Tontowi Ahmad, Liliyana Natsir, Greysia Polii, Apriyani Rahayu dan seluruh tim beregu putra dan putri. Sedangkan untuk cabang olahraga wushu, penghargaan diberikan kepada Lindswell Kwok, Edgar Xavier Marvelo, Yusuf Widiyanto, Ahmad Hulaefi dan Puja Riyaya. ""Ini menjadi bentuk terima kasih kami kepada atlet kedua cabang olahraga itu. Semoga, prestasi mereka bisa menginspirasi anak muda Indonesia,"" kata Presiden Direktur McDonald's dan Teh Botol Sosro, Sukowati Sosrodjojo, Rabu 5 September 2018. (one) "
Marcus Gideon, Bonus Asian Games, dan Masa Depan Atlet Bulu tangkis;https://www.viva.co.id/sport/1071807-marcus-gideon-bonus-asian-games-dan-masa-depan-atlet-bulu-tangkis;"Dikerubuti anak-anak, juga pria setengah baya dan kaum perempuan yang meminta foto bareng dan tanda tangan, pria kelahiran 1991 itu melayaninya dengan sabar - dan berusaha tetap memelihara senyum. Marcus Fernaldi Gideon, nama pria yang rambutnya disemir kuning ini, memang sedang tenar setelah meraih medali emas bersama pasangan gandanya, Kevin Sanjaya Sukamuljo di Asian Games 2018 yang baru saja berakhir. Senin (03/09) siang itu, Sinyo - begitu panggilan akrab Gideon - baru saja menerima bonus sebesar Rp600 juta dari pendiri klub PB Jaya Raya dan pengusaha terkenal, Ciputra. Ini merupakan bonus susulan yang diterimanya setelah menerima bonus sebesar Rp1 miliar dari pemerintah Indonesia, Minggu (02/09) lalu, atas raihan medali emas tersebut. Dia juga akan mendapat hadiah rumah. Sebagai warga Jakarta, Gideon pun dijanjikan akan mendapatkan bonus sebesar Rp300 juta dari pemerintah Provinsi DKI Jakarta. ""Bonusnya cepat turunnya. Kita sebagai atlet baru kali ini, setelah pertandingan habis, langsung mendapatkan bonus. Senang ,"" kata Gideon menjawab pertanyaan BBC News Indonesia, usai menerima bonus dari PB Jaya Raya di GOR PB Jaya Raya, Bintaro, Tangerang Selatan, Banten, Senin (03/09). ""Ini jadi motivasi buat yang kecil-kecil (pemain bulu tangkis usia muda) biar orang tuanya juga percaya dan yakin, kalau anaknya main bulutangkis, masa depannya ada,"" ujar Sinyo. "" kayak (pemerintahan sebelumnya) dulu, yang ada hadiahnya, sehingga mana ada orang tua yang anaknya disuruh main bulu tangkis."" Namun demikian saat ditanya apa yang perlu dilakukan pemerintah Indonesia agar masa depan atlet olah raga yang sudah pensiun dapat terjamin, Gideon kurang sepakat apabila tanggung jawab itu sepenuhnya dibebankan kepada pemerintah. ""Selama atlet itu masih bisa berjaya, pasti dia akan menabung, sudah menyiapkan untuk masa depannya. bisa semuanya kemudian minta kepada pemerintah,"" jelasnya. ""Kita bisa selalu minta kepada pemerintah. Mereka bisa (dana atau tunjangan) kamu terus,"" tambahnya. Lantas, apa yang akan disiapkannya untuk menghadapi tantangan menjelanf Olimpiade 2020 di Tokyo, Jepang? Dan bagaimana dia menekuni dunia bulu tangkis? Berikut petikan wawancara BBC News Indonesia dengan Marcus ""Sinyo"" Gideon: Yang pasti pantang menyerah dan selalu melakukan hal terbaik. Yang membedakan, Asian Games empat tahun sekali, dan ini digelar di Indonesia, sehingga ekspektasi (masyarakat Indonesia) kepada kita pasti sangat besar sekali. Dari situlah, kami ingin juara di sini (Indonesia). Itu yang membedakan dari laga-laga di tempat lain. Pasti ada yang perlu ditingkatkan. Banyak. Nanti kita bakal diskusi dengan partner saya (Kevin Sanjaya Sukamuljo), bagaimana caranya agar kita bisa lebih baik. Semua lawan berat. Persaingan di ganda putra di tingkat dunia `cukup ramai` dan sekarang ada negara yang lemah dulu. Sekarang semua sudah bisa main bagus. Jadi kita bisa lengah dan tidak bisa menganggap remeh negara-negara yang kurang terkenal. Salah-satu yang diharapkan pada Anda dan Kevin Sanjaya Sukamulyo, setelah meraih medali emas di ganda putra Asian Games 2018, adalah agar kalian dapat tampil konsisten dalam laga selanjutnya. Apa komentar Anda ?  Pasti semua orang mau konsisten. Bisa juara terus, pernah kalah. Siapa yang mau seperti itu. Cuma kita kan sama-sama manusia, pasti ada kekurangan, ada kelemahan. Jadi kita bisa menjamin pasti menang terus. Tapi pasti kita akan lakukan yang terbaik. Ha, ha, ha ( ). ada bedanya. Sama saja. Kalau sudah turun (dari laga), besok pertandingan lagi. Sama saja. Dan kita kan tidak langsung main di final. Tetap sama mainnya dimulai babak pertama. Yang di final, itu pasti. Karena kita sudah ketinggalan banyak angka. Musuhnya (ganda putra Indonesia lainnya: Indonesia Muhammad Rian Ardianto dan Fajar Alfian) juga tampil luar biasa saat itu. Ada keberuntungan. Dan pasti kita juga menyerah dan kita juga tidak terlalu memikirkann poinnya. Juga saat ketinggalan , kita selalu berusaha tampil yang terbaik. Kita mendapatkan satu poin, satu poin. Bonusnya cepat turunnya. Kita sebagai atlet baru kali ini, setelah pertandingan habis, langsung mendapatkan bonus. Senang . Apresiasinya (dari pemerintah) cukup bagus. Ini jadi motivasi buat yang kecil-kecil (pemain bulu tangkis usia muda) biar orang tuanya juga percaya dan yakin, kalau anaknya main bulutangkis, masa depannya ada. Penting, sebab akan memotivasi agar masyarakat tertarik untuk menekuni bulutangkis. Coba bagaimana rasanya, karena bermain bulu tangkis, sehingga harus rela sekolahnya diganggu. Lalu saat meraih prestasi, mendapat hadiah. Lalu, mau makan apa mereka? Kalau bisa pembangunan gedung olah raga seperti di kompleks Gelora Bung Karno (GBK) ada di setiap kota di Indonesia. Kalau saya ke Cina, hampir setiap kota, berdiri gedung olah raga yang ukurannya sama seperti Istora Senayan. Dan ukuran yang terkecil itu sebesar Istora. Gedung olah raga di Cina itu . Kalau bisa, di setiap kota di Indonesia, enggak cuma di Jakarta, ada gedung olah raga. Jadi, kalau mau main olah raga, perlu susah-susah ke pulau Jawa. Kalau bisa yang di Kalimantan, Papua, Ambon dibangun sarana seperti itu. Menurut saya, jika ada persoalan yang menimpa mantan atlet, itu tidak bisa sepenuhnya digantungkan kepada pemerintah. Selama atlet itu masih bisa berjaya, pasti dia akan menabung, sudah menyiapkan untuk masa depannya. bisa semuanya kemudian minta kepada pemerintah. Kita bisa selalu minta kepada pemerintah. Mereka enggak bisa (dana atau tunjangan) kamu terus. Pasti kita harus kerja, cari sesuatu. Dan saya yakin, kalau kita usaha secara benar dan aneh-aneh, pasti tidak akan susah di masa tuanya. Pasti tetap bisa makan. Selalu melakukan yang terbaik. Kita usah membandingkan dengan orang lain. Yang penting kita melakukan yang terbaik sebisa yang kita lakukan. Itu yang terpenting buat saya. Ya, sedari kecil seperti ini ( ). Soalnya, kalau sudah dari kecil, kita akan fokus ke situ. Kalau berubah-ubah, enggak bagus, pada akhirnya. Saat usia sekolah dasar, saya sudah bermain bulutangkis, dan sudah fokus ke cabang olah raga itu. Pasti, karena orang tua mendukung apa yang kita tekuni. Kalau orang tua membolehkan, ? Ha, ha, ha... ( ). Ya, soalnya saya senang main bulutangkis dan hobi juga. Jadi lebih senang menggelutinya. "
