Title;Url;Berita
UFC Seru tvOne: For The Glory UFC 228;https://www.viva.co.id/sport/onepride/1073407-ufc-seru-tvone-for-the-glory-ufc-228;VIVA – UFC 228 menyajikan sebuah cerita menarik dari laga utamanya, Tyron Woodley versus Darren Till. Dalam duel yang digelar pada Minggu 9 September 2018 WIB itu, Woodley menunjukkan keperkasaannya di depan Till. Menghadapi Woodley, Till datang dengan modal yang luar biasa. Delapan laga tanpa kalah, jadi hal yang bisa dibanggakan Till di depan Woodley. Tapi, rekor itu cuma angka bagi Woodley. Pengalaman bertarung Woodley yang jadi kunci dalam laga ini. Di duel tersebut, Woodley berhasil mempermalukan Till. Tak butuh waktu lama bagi Woodley untuk memenangkan duel. Hanya dua ronde saja, Woodley mampu mengalahkan Till. Dan, sepanjang laga, Woodley mampu menguasai situasi dan memberikan tekanan kepada Till. tvOne akan kembali menayangkan duel Woodley versus Till. Tak cuma laga itu, masih ada tiga pertarungan lain dari UFC 228 yang akan disiarkan pada Senin 10 September 2018, mulai pukul 23.00 WIB nanti. Berikut adalah daftar duel UFC Seru tvOne: Tyron Woodley vs Darren Till Aljamain Sterling vs Cody Stamann Zabit Magomedsharipov vs Brandon Davis Abdul Razak Alhassan vs Niko Price (ase) 
Hafid Tak Bermaksud Menang Cepat Atas Deni;https://www.viva.co.id/sport/onepride/1073379-hafid-tak-bermaksud-menang-cepat-atas-deni;"VIVA – Juara baru kelas bulu One Pride Pro Never Quit, Hafid Nur Maradi, buka-bukaan soal penampilannya di Fight Night 22, Sabtu 8 September 2018. Hafid mengaku, dalam duel itu, dia tak bermaksud menang cepat atas Deni. Ya, dalam duel tersebut, Hafid terbilang lebih dini dalam menyelesaikan laga. Cuma butuh waktu satu menit 23 detik baginya untuk mengunci sabuk juara kelas bulu. Ketika bel baru dibunyikan, Hafid langsung menerjang Deni, mencoba menjatuhkannya. Awalnya, Hafid kesulitan mengontrol Deni. Namun, lewat upaya keras, Hafid akhirnya mampu mengunci Deni lewat teknik side choke dan menjadi juara baru kelas bulu. ""Saya minta maaf terlalu cepat. Sebenarnya, saya tak bermaksud menang cepat. Main lima ronde pun saya siap,"" ujar Hafid. Menurutnya pula, sabuk juara kelas bulu memang layak disabet olehnya. Sebab, Hafid merasa persiapannya jauh lebih baik ketimbang Deni. ""Usaha tak mengkhianati hasil. Saya puas sekali, ini buah dari kerja keras, persiapan yang matang dan hasilnya adalah juara,"" kata Hafid. (ren) "
Verdy Ungkap Kunci Keberhasilan Taklukkan Panji;https://www.viva.co.id/sport/onepride/1073255-verdy-ungkap-kunci-keberhasilan-taklukkan-panji;"VIVA – Duel seru tersaji di One Pride Pro Never Quit Fight Night 22, Sabtu 8 September 2018. Ada pertarungan celebrity match antara Verdy Bhawanta versus Panji Addiemas. Layaknya  duel panas petarung lainnya, mereka mempertontonkan skill yang mengundang decak kagum. Adu pukul juga menghiasi laga ini. Duel ini termasuk melelahkan, sempat saling mengunci di ronde pertama, namun keduanya tak kunjung menyudahi pertarungan.  Keduanya sama-sama menunjukkan teknik rear naked choke, namun hingga ronde kedua berakhir keduanya tak ada yang menyerah. Wasit akhirnya memenangkan Verdy dengan selisih poin. Usai duel melelahkan, Verdy mengaku bahwa pertarungan itu tak sesuai dengan prediksinya. Akhirnya dia mengubah strategi. ""Pertarungan tadi tidak sesuai dengan prediksi saya. Makanya saya mengubah stategi,"" kata Verdy kepada VIVA. ""Saya percaya bahwa ground fighting itu akan membatu saya, karena itu saya berupaya bermain bawah,"" ujarnya menambahkan. (mus)
  "
Menang Lagi, Theo: Tahun Ini Ahong Bukan Siapa-siapa;https://www.viva.co.id/sport/onepride/1073253-menang-lagi-theo-tahun-ini-ahong-bukan-siapa-siapa;"VIVA – Petarung Lion's MMA, Theodorus Ginting lagi-lagi menunjukkan keperkasaannya di pentas One Pride MMA. Dalam duel pada Fight Night 22, Sabtu 8 September 2018, Theo sukses mempecundangi lawannya Rysanda Julio Dirgantara di Britama Arena. Ronde pertama dimulai dengan pukulan keras. Theo langsung melakukan bantingan.  Tak ada kata ampun bagi Theo. Dia terus menghujani Rysanda dengan pukulan. Petarung berdarah Batak itu akhirnya menyudahi duel di ronde pertama menit ke 2 lewat 21 detik. Meski berhasil melumat Rysanda, namun Theo tidak memprediksi duel akan berakhir di permainan bawah. Dia ingin bermain striking awalnya menghadapi Rysanda. ""Game plan, saya pengen striking awalnya. Saya tidak bermaksud banget, bener-bener ini bermain striking. Mau gak mau saya harus ambil ground,"" kata Theo kepada VIVA. ""Saya minta maaf kepada seluruh pendukung Rysanda dan timnya. Ke depan, saya tidak bisa memaksakan kehendak saya karena tahun ini Rudi Ahong bukan siapa-siapa,"" ujarnya menambahkan. Kemenangan ini membuat Theo berhak menantang juara kelas welter. Namun, belum tentu Rudy Gunawan atau Ahong yang dilawan Theo. Sebab, pada Fight Night 23, November 2018 mendatang, Ahong bakal berduel terlebih dulu melawan Alwin Kincai. "
Tercepat di MotoGP Italia, Dovizioso Catat Rekor Positif;https://www.viva.co.id/sport/balap/1073249-tercepat-di-motogp-italia-dovizioso-catat-rekor-positif;"VIVA – Andrea Dovizioso mencatat rekor pribadi usai menjuarai MotoGP Italia, yang digelar di Sirkuit Misano, Minggu 9 September 2018 WIB. Rider 32 tahun ini untuk pertama kalinya berhasil meraih podium teratas di kampung halaman sendiri. Dovizioso untuk kali pertama berhasil jadi raja di rumah sendiri, sepanjang 10 tahun kariernya di MotoGP. Bahkan, Dovi, sapaan akrabnya, mampu mengalahkan rider favorit juara, Marc Marquez. Usai balapan, Dovizioso memberikan komentarnya. Ia mengakui kemenangan ini terasa sangat istimewa baginya. Sebab, sepanjang kariernya ia tak pernah sekalipun membuktikan diri sebagai jago balap dari Italia. ""Kami melakukan segalanya dengan sempurna. Kami datang ke sini dengan dasar yang sangat bagus,"" ujar Dovizioso dikutip Crash. ""Satu-satunya cara untuk menang hari ini adalah menang dengan sempurna. Saya belum pernah menang di Misano dan itu adalah sesuatu yang sangat saya inginkan,"" katanya. Kemenangan ini juga jadi yang ketiga diraih Dovizioso musim ini. Sebelumnya, Dovizioso mampu menjadi juara di seri pertama, MotoGP Qatar, dan seri MotoGP Republik Ceko. (mus) "
Dovizioso Rajai MotoGP Italia;https://www.viva.co.id/sport/balap/1073236-dovizioso-rajai-motogp-italia;"VIVA – Pembalap Tim Ducati, Andrea Dovizioso, sukses menjuarai seri MotoGP Italia. Dovizioso mampu memacu memaksimal motor tunggangannya dalam balapan di Sirkuit Misano, Italia, Minggu 9 September 2018 WIB. Rider berusia 32 tahun ini mampu mencatat waktu tercepat, 45 menit 05,426 detik. Kemenangan di Misano jadi yang pertama kali dalam kariernya. Selain itu, kemenangan ini juga jadi yang ketiga kalinya diraih Dovizioso di ajang MotoGP 2018. Sementara itu, di posisi kedua berdiri pembalap andalan Tim Repsol Honda, Marc Marquez. Catatan waktu Marquez berselisih 2,822 detik dari Dovizioso. Pembalap Tim asal Inggris, Cal Crutchlow, berdiri di urutan ketiga. Catatan waktu Crutchlow terpaut 7,269 detik dari Dovizioso. Kemudian di posisi keempat, ada pembalap Tim Alex Rins yang terpaut 14,687 detik dari Dovizioso. Maverick Vinales dari Tim Yamaha Movistar finis di posisi kelima dengan catatan waktu 42 menit 21,442 detik. Rekan satu tim Vinales, Valentino Rossi, berada di urutan ke-7 dengan catatan waktu 42 menit 24,512 detik. Hasil Lengkap MotoGP Italia, Minggu 9 September 2018 WIB: 1. Andrea Dovizioso ITA Ducati Team (GP18)42m 5.426s
2. Marc Marquez ESP Repsol Honda (RC213V)42m 8.248s
3. Cal Crutchlow GBR LCR Honda (RC213V) 42m 12.695s
4. Alex Rins ESP Suzuki Ecstar (GSX-RR) 42m 20.113s
5. Maverick Viñales ESP Movistar Yamaha (YZR-M1) 42m 21.442s
6. Dani Pedrosa ESP Repsol Honda (RC213V)42m 22.834s
7. Valentino Rossi ITA Movistar Yamaha (YZR-M1) 42m 24.512s
8. Andrea Iannone ITA Suzuki Ecstar (GSX-RR)42m 27.230s
9. Alvaro Bautista ESP Angel Nieto Team (GP17)42m 29.345s
10. Johann Zarco FRA Monster Yamaha Tech3 (YZR-M1) 42m 32.985s
11. Danilo Petrucci ITA Pramac Ducati (GP18)42m 36.124s
12. Franco Morbidelli ITA EG 0,0 Marc VDS (RC213V)* 42m 38.367s
13. Takaaki Nakagami JPN LCR Honda (RC213V)*42m 38.887s
14. Aleix Espargaro ESP Factory Aprilia Gresini (RS-GP) 42m 41.112sMichele Pirro ITA Ducati Team (GP18) 42m 41.238s
15. Bradley Smith GBR Red Bull KTM Factory (RC16) 42m 51.926s
16. Jorge Lorenzo ESP Ducati Team (GP18) 42m 52.040s
17. Jack Miller AUS Pramac Ducati (GP17) 42m 56.019s
18. Hafizh Syahrin MAL Monster Yamaha Tech3 (YZR-M1)* 43m 0.594s
19. Karel Abraham CZE Angel Nieto Team (GP16)43m 7.681s
20. Scott Redding GBR Factory Aprilia Gresini (RS-GP) 43m 14.901s
21. Thomas Luthi SWI EG 0,0 Marc VDS (RC213V)*43m 18.034s
22. Christophe Ponsson FRA Reale Avintia (GP16)* +1 lap 
23. Stefan Bradl GER HRC Honda Team (RC213V)DNF 
24. Pol Espargaro ESP Red Bull KTM Factory (RC16) DNF 
25. Xavier Simeon ESP Reale Avintia (GP17)* DNF "
Deni Arif Tak Menyangka Kalah Cepat dari Hafid;https://www.viva.co.id/sport/onepride/1073224-deni-arif-tak-menyangka-kalah-cepat-dari-hafid;"VIVA – Hafid Nur Maradi akhirnya dinobatkan sebagai juara baru kelas bulu One Pride Pro Never Quit. Dia sukses menyabet gelar yang lowong di kelas bulu usai mengalahkan Deni Arif Fadillah dalam Fight Night 22, Sabtu 8 September 2018. Dalam duel itu, Hafid menang dalam tempo yang singkat. Cuma butuh waktu satu menit 23 detik baginya demi mengunci kemenangan atas Deni. Kuncian side choke jadi andalan Hafid untuk mengalahkan Deni. Awalnya, Hafid sempat kesulitan membawa Deni bertarung di bawah. Namun, kelengahan Deni mampu dimanfaatkan oleh Hafid dan kemenangan mampu disabetnya. Kekalahan ini sangat disesalkan oleh Deni. Dia tak menyangka bisa kalah cepat dari sang lawan. ""Saya tak menyangka bisa kalah cepat dari Hafid. Saya pikir tadi bisa bermain lama,"" kata Deni kepada VIVA di Britama Arena. Petarung dari Bengkulu itu menuturkan, sejak awal dia tidak ingin terpancing, namun takdir berkata lain. Deni harus terjebak di permainan bawah Hafid. ""Saya sudah siapkan segalanya. Namun semuanya sudah kehendak-Nya. Inilah yang namanya pertarungan,"" ungkapnya. ""Saya belum pikirkan ke depannya seperti apa. Saya masih tak percaya dengan semua ini."" (mus)  "
Habisi Harinto, Jeremy Tertantang Hadapi Petarung yang Lebih Tangguh;https://www.viva.co.id/sport/onepride/1073212-habisi-harinto-jeremy-tertantang-hadapi-petarung-yang-lebih-tangguh;"VIVA – Petarung Siam Training Camp, Harinto Jaya harus menelan pil pahit kala berhadapan dengan Jeremy Siregar. Bertemu dalam One Pride Pro Never Quit Fight Night 22, Sabtu September 2018, Harinto kalah di ronde pertama. Meski demikian, Jeremy tak mudah untuk menaklukkan Harinto. Mereka harus melewati duel sengit terlebih dahulu. Diakui Jeremy, dia memang sangat bernafsu untuk menghabisi Harinto sejak awal pertarungan. Namun hingga akhirnya Jeremy bisa menyudahi duel lewat teknik rear naked choke. ""Saya terlalu nafsu untuk membuat dia KO. Saya tidak pikirkan teknik tadi tapi akhirnya bisa menang,"" kata Jeremy kepada VIVA. Usai mengalahkan Harinto, Jeremy tertantang menghadapi petarung yang lebih tangguh. Dia berjanji akan bertarung lebih keras lagi. ""Saya tertantang menghadapi petarung yang lebih hebat lagi. Tentu dengan latihan dan kerja keras."" (mus)  "
Lolos, 50 Peserta Masuk Karantina di PB Djarum;https://www.viva.co.id/sport/raket/1073209-lolos-50-peserta-masuk-karantina-di-pb-djarum;"VIVA – Rangkaian Final Audisi Djarum Beasiswa Bulutangkis 2018 di GOR Djarum, Jati, Kudus, Jawa Tengah, berakhir pada Minggu, 9 September 2018. Sebanyak 50 peserta dinyatakan lolos ke babak grand final dan akan memasuki tahap karantina mulai 10 hingga 15 September 2018. Puluhan calon peraih beasiswa bulutangkis dari Djarum Foundation tersebut, akan berpisah dari orangtua mereka dan berdomisili di Asrama PB Djarum. Manajer Tim PB Djarum Fung Permadi menyatakan, para peserta akan diliburkan selama sehari, pasca rangkaian pertandingan di babak grand final. Keesokan harinya, di bawah pengawasan para pelatih PB Djarum, atlet-atlet belia ini akan menjalani berbagai jenis latihan di Kudus. ""Kegiatan mereka mengikuti latihan dari staf pelatih kami. Beberapa program yang kami terapkan juga mencakup tes fisik, yang melibatkan ahli nutrisi dan gizi serta pelatih fisik, dan juga kami akan meneliti lagi konsistensi dan semangat adik-adik ini selama Tahap Karantina,"" ujar Fung, ditemui di sela-sela babak grand final di GOR Jati, Kudus. Final Audisi Umum dimulai pada Jumat, 7 September 2018, mempertemukan 219 pebulutangkis hasil Audisi Umum di delapan kota. Para pelatih tim PB Djarum sepakat untuk meloloskan para peserta tersebut. Keesokan harinya, Babak I digelar dengan hasil 91 peserta lolos di fase awal ini. Para pebulutangkis yang lolos, masih harus melalui Babak II yang digelar pada hari yang sama. Di babak ini, para finalis menuntaskan satu pertandingan. Pada Sabtu, 8 September 2018, tim pelatih PB Djarum meloloskan 65 peserta yang kemudian akan bertanding di Babak Grand Final, Minggu 9 September 2018. Program Manager Bakti Olahraga Djarum Foundation, Budi Darmawan mengucapkan terima kasih kepada para orangtua yang telah mengantarkan anaknya untuk mengikuti Audisi Umum ini, menyalurkan dan mengembangkan bakat anak-anaknya melalui olahraga bulutangkis. ""Melalui Audisi Umum yang kami gelar setiap tahunnya di berbagai kota di Indonesia, merupakan tahap awal merintis cita-cita menjadi pebulutangkis yang andal,"" katanya. Melalui program tahunan Djarum Foundation ini, lanjut Budi, diharapkan kelak muncul pemain-pemain bulutangkis yang dapat mengharumkan nama Indonesia di pentas dunia. ""Bagi kami akan menjadi sebuah kebanggaan tersendiri jika anak-anak hasil Audisi Umum yang kemudian dibina di PB Djarum, dapat menjadi bagian dari sejarah dunia melalui prestasi bulutangkis,"" ujar Budi. (mus)
  "
Kunci Ade Permana Menang Mudah Atas Anwar Hidayat;https://www.viva.co.id/sport/onepride/1073202-kunci-ade-permana-menang-mudah-atas-anwar-hidayat;"VIVA – Duel panas tersaji di One Pride Pro Never Quit Fight Night 22, Sabtu 8 September 2018. Petarung Bandung Fighting Club, Ade Permana sukses mengandaskan sang lawan Anwar Hidayat. Tak butuh waktu lama bagi Ade. Hanya dalam waktu satu menit 13 detik, dia langsung meraih tiket semifinal turnamen kelas atom. Anwar dibuat tak berdaya dengan teknik rear naked choke. Kemenangan ini membuat Ade termotivasi untuk tampil lebih baik lagi. Dia berjanji akan mempertajam teknik dan melihat siapa lawan yang akan dihadapi. ""Saya ucapkan terima kasih kepada tim, keluarga dan sahabat-sahabat. Saya akan berlatih sekeras mungkin, mempertajam teknik,"" kata Ade kepada VIVA. Dijelaskan ada, tak ada strategi khusus menghabisi lawan. Dia hanya bertarung mengalir, ketika ada peluang langsung dimanfaatkan sebaik mungkin. ""Saya hanya bermain cepat,  mengalir saja seperti air.  Di mana ada peluang di situ saya main dengan baik,"" ungkapnya. ""Saya akan memantau lawan selanjutnya. Lalu akan menentukan strategi berikutnya,"" tambahnya.
  "
