Title;Url;Berita
Fakta-fakta Menarik Jelang Persija Vs Selangor FA;https://www.viva.co.id/bola/liga-indonesia/1072160-fakta-fakta-menarik-jelang-persija-vs-selangor-fa;"VIVA – Laga menarik akan tersaji antara Persija Jakarta menghadapi klub Malaysia, Selangor FA. Laga dengan tajuk persahabatan ini akan dihelat pada Kamis, 6 September 2018 di Stadion Patriot Candrabhaga, Bekasi.  Ini merupakan laga penuh gengsi, dan tentu kedua tim mematok target meraih kemenangan. Persija sebenarnya diunggulkan keluar sebagai pemenang, sebab tampil di kandang.  Meski begitu, Macan Kemayoran ogah anggap enteng lawan. Bek Persija, Maman Abdurrahman, mengaku siap memberikan permainan terbaik demi raihan hasil maksimal.  ""Meski hanya uji coba, kami akan lakoni dengan sangat serius guna mengarungi kompetisi selanjutnya. Saya pikir Selangor punya kekuatan yang bagus juga,"" ucap Maman kepada wartawan. ""Kembali ke Patriot, tim membutuhkan atmosfer pertandingan seperti ini. Mudah-mudahan setelah uji coba, positif hasilnya ketika lawan Borneo nanti,"" lanjut dia.  Berikut fakta-fakta menarik jelang duel Persija vs Selangor FA, seperti dilansir berbagai sumber:  1. Di laga ini, Selangor dipastikan bakal menurunkan dua pemain Indonesia, Evan Dimas dan Ilham Udin Armayn.  2. Selangor FA memiliki dua agenda uji coba di Indonesia, menghadapi Madura United dan Persija. Di laga perdana menghadapi Madura United, mereka takluk dengan skor 1-4, Selasa 4 September 2018 lalu.  3. Ada satu nama Selangor FA yang sebelumnya pernah membela Persija, yaitu Willian  Pacheco. Sebelumnya Pachecho meninggalkan Macan Kemayoran pada Januari 2018 lalu.  4. Persija sebelumnya sudah melakoni laga kontra Bhayangkara FC di laga uji coba. Kedua tim mengakhiri laga dengan skor 1-1, 29 Agustus 2018 lalu. (one) "
Sambut Djanur, Ribuan Bonek Serbu Latihan Persebaya;https://www.viva.co.id/bola/liga-indonesia/1072150-sambut-djanur-ribuan-bonek-serbu-latihan-persebaya;"VIVA – Sambutan hangat di berikan bonek kepada pelatih baru Persebaya, Djajang Nurdjaman saat memimpin latihan perdana di Lapangan Karanggayam, Surabaya, Rabu 5 September 2018. Saat menginjakkan kaki di Lapangan Karanggayam, pria yang akran dipanggil Djanur itu mendapat tepuk tangan meriah dari ribuan Bonek yang memadati tribun lapangan. Tidak hanya, bonek langsung  menyanyikan chant kebanggan Persebaya seperti ""song for pride"" dan ""emosi jiwaku"" mengiringi latihan Persebaya. Sesekali meneriakan nama pemain dan nama Djajang Nurdjaman. Momen bonek memadati latihan Persebaya baru sekali terjadi musim ini. Sebab, selain baru pertama kali menggelar latihan di Lapangan Karaggayam, di era pelatih Alfredo Vera latihan selalu digelar tertutup, baik untuk suporter maupun wartawan. Sebelumnya tim berjuluk Bajol Ijo itu menggelar latihan berpindah-pindah.  Mulai dari Lapangan Polda Jatim, Stadion Jenggolo, Stadion GBT dan Lapangan SIER. Sedangkan Lapangan Karanggayam yang berada di belakang Stadion Gelora 10 November Tambaksari, merupakan lapangan bersejarah buat Persebaya. Usai latihan berakhir, Bonek langsung menyerbu Djanur dan mengajaknya foto bergantian.""Foto dulu coach Djanur,buat kenang-kenangan,"" ucap puluhan bonek sambil bergantian berfoto. Sementara Djanur sendiri merasa bangga bisa bergabung dengan Persebaya dan mendapatkan sambutan istimewa dari bonek, ""Persebaya tim legendaris, sangat bangga bisa bersama tim ini. Terima kasih juga pada
suporter atas sambutannya, "" ucap mantan pelatih Persib Bandung dan PSMS Medan ini.
  "
Dua Pemain Selangor FA yang Bikin Pelatih Persija Keringat Dingin;https://www.viva.co.id/bola/liga-indonesia/1072148-dua-pemain-selangor-fa-yang-bikin-pelatih-persija-keringat-dingin;"VIVA – Persija Jakarta siap tempur menghadapi tim dari Negeri Jiran Malaysia, Selangor FA. Keduanya akan bentrok di Stadion Patriot, Bekasi, Kamis 6 September 2018. Meski hanya laga bertajuk uji coba, namun pelatih Persija, Stefano Cugurra Teco merasa anak asuhnya perlu mewaspadai pergerakan dua pemain Selangor. Keduanya adalah, Rufino Segovia dan Ilham Udin Armaiyn.  ""Mereka punya striker bagus, Rufino dan ada juga pemain Indonesia Ilham di sana. Pergerakan pemain ini perlu diwaspadai,"" ucapnya.  Teco menuturkan, kontra Selangor anak asuhnya dituntut menang. Dia tak ingin Persija main setengah hati.  ""Setiap laga tentu selalu menginginkan kemenangan. Menang penting di setiap uji coba,"" kata dia.  Setelah laga uji coba ini, Persija akan kembali merasakan kerasnya Liga 1 kontra Borneo FC pada 12 September 2018. "
Zidane Asyik Liburan, Tak Serius ke MU?;https://www.viva.co.id/bola/liga-inggris/1072147-zidane-asyik-liburan-tak-serius-ke-mu;"VIVA – Nasib manajer Manchester United, Jose Mourinho tengah dipertaruhkan menyusul catatan minornya di awal musim 2018/2019. Dia kemudian diisukan bakal lengser dari kursi jabatannya.  Dan sosok yang santer dikabarkan menggantikannya adalah mantan pelatih Real Madrid, Zinedine Zidane. Meski kabar berhembus kencang, namun Zidane tidak merespons berlebihan.  Terbukti dia tertangkap kamera sedang melakukan liburan. Dilansir Dailymail Zidane dan istrinya, Veronique sedang asyik menikmati indahnya alam di Formentera, Spanyol. Tidak lupa, kedua anaknya ikut menemani.  Manchester United memang tampil jauh dari kata memuaskan di awal musim ini. Mereka sudah mengalami dua kekalahan dari empat laga awal Premier League.  Hasil ini menempatkan mereka di posisi ke-10 sementara dengan raihan enam poin dari empat laga yang dilakoninya. Dan dengan datangnya Zidane, MU diyakini bakal kembali menunjukkan tajinya.  Zidane memutuskan untuk hengkang dari Real Madrid pada akhir musim 2017/2018 lalu. Sejak menukangi El Real, Zidane sudah mempersembahkan beberapa gelar bergengsi seperti trofi LaLiga hingga Liga Champions. 
  "
Ronaldo Mandul, Kekasih Seksi Icardi Ikutan 'Nyinyir';https://www.viva.co.id/bola/liga-italia/1072145-ronaldo-mandul-kekasih-seksi-icardi-ikutan-nyinyir;"VIVA – Cristiano Ronaldo lagi-lagi dapat sindiran. Kali ini datang dari kekasih bomber Inter Milan, Mauro Icardi, Wanda Nara.  Sindiran Wanda Nara menyusul jebloknya penampilan mantan pemain Real Madrid tersebut di awal musim 2018/2019. Pemain Portugal tersebut masih nihil gol di tiga pekan awal Serie A.  ""Ronaldo belum juga mencetak gol, dia akan kesulitan untuk tidur. Dan dia makin kesulitan jika Icardi bisa mencetak gol lebih banyak dari dia,"" kata Wanda Nara, seperti dilansir Calciomercato.  Sebelumnya sindiran juga datang dari pemain AS Roma, Patrick Schick. Dia menyebut jika Ronaldo butuh adaptasi. Dia juga mengingatkan mantan pemain Manchester United ini jika Serie A adalah kompetisi yang berbeda.  ""Serie A adalah kompetisi yang sulit. Datangnya Ronaldo memang membuat Serie A menjadi makin menarik,"" kata Schick.  Selanjutnya, Juventus bakal menghadapi laga kontra Sassuolo di ajang Serie A. Laga tersebut akan dihelat pada Sabtu 16 September 2018 mendatang. 
  "
Pelatih Selangor FA Bakal Mainkan Evan dan Ilham Kontra Persija;https://www.viva.co.id/bola/liga-indonesia/1072143-pelatih-selangor-fa-bakal-mainkan-evan-dan-ilham-kontra-persija;"VIVA – Duel panas bakal tersaji di Patriot Bekasi, Kamis 6 September 2018. Persija Jakarta akan melakoni laga uji coba kontra Selangor FA.  Menghadapi Persija, pelatih Selangor, Muhammad Nazliazmi Nasir akan menurunkan dua pemain Indonesia yang membela klub itu. Ya, mereka adalah Evan Dimas Darmono dan Ilham Udin Armaiyn.  ""Ilham dan Evan akan kami turunkan besok. Tentunya suatu kebanggan juga  bisa bermain di kampung halaman sendiri,"" kata Nazliazmi kepada wartawan di Bekasi, Rabu 5 September 2018. Bagi Nazliazmi, menghadapi Persija merupakan suatu kehormatan. Skuat berjuluk Macan Kemayoran dianggap sebagai tim yang cukup tangguh.  ""Suatu kehormatan bagi kami bisa bermain menghadapi Persija. Laga ini akan menjadi laga yang penuh gengsi,"" tambahnya.  Adapun pemain Persija yang harus diwaspadai Selangor, menurut Nazliazmi adalah Marko Simic. Meski performa pemain asal Kroasia itu menurun beberapa waktu belakangan.  ""Simic pemain yang berbahaya sebagai seorang striker. Saya minta para pemain bekerja keras menjegal dia,"" kata dia. 
  "
Willian Pachecho Rindu Reuni dengan Pemain Persija;https://www.viva.co.id/bola/liga-indonesia/1072138-willian-pachecho-rindu-reuni-dengan-pemain-persija;"VIVA – Duel antara Persija Jakarta kontra Selangor FA, Kamis 6 September 2018 menjadi laga yang dinantikan oleh Willian Pachecho. Sebab dia akan kembali berhadapan dengan mantan tim.  Pachecho, begitu akrab disapa diketahui pernah memperkuat Persija musim lalu. Dia bergabung dengan skuat berjuluk Macan Kemayoran itu pada 2016. Jelang laga kontra Persija, Pachecho mengaku sangat rindu dengan Jakarta. Dia berharap bisa reunian dengan keluarga besar Persija.  ""Saya sangat rindu Jakarta. Besok pertandingan besar, bertemu dengan keluarga besar. Senang bisa reuni dengan pemain Persija,"" kata Pachecho di Bekasi, Rabu 5 September 2018. Dijelaskan Pachecho, tak ada bedanya bermain di Liga Indonesia dan Malaysia. Hanya saja di Indonesia, jarak pertandingan antara satu klub ke klub lain lumayan jauh.  ""Saya merasa tidak ada perbedaan dibandingkan malaysia. Cuma jarak antara satu tim dengan tim lainnya di Indonesia lumayan jauh,"" kata bek asal Brasil itu. 
  "
Hanya Zidane yang Bisa Buat Pogba Bertahan di MU;https://www.viva.co.id/bola/liga-inggris/1072137-hanya-zidane-yang-bisa-buat-pogba-bertahan-di-mu;"VIVA – Ruang ganti Manchester United tengah memanas, performa kurang meyakinkan Setan Merah di awal musim menjadi penyebabnya. Keadaan ini makin diperkeruh dengan isu hengkangnya Paul Pogba.  Hubungan tidak baik antara pemain Prancis tersebut dengan sang manajer, Jose Mourinho menjadi alasan kuat. Peluangnya untuk hengkang cukup besar, bahkan beberapa klub raksasa Eropa sudah menunjukkan sinyal ketertarikan, salah satunya Barcelona.  Namun, ada satu kondisi di mana Pogba akan bertahan. Yaitu rencana datangnya Zinedine Zidane ke Old Trafford untuk menggantikan Jose Mourinho.  ""Pogba berkembang di mana Zidane adalah sosok idolanya dan dia pasti akan senang bisa bersama dalam kariernya sebagai pesepakbola,"" kata salah satu sumber, seperti dilansir Mirror.  Seperti yang diketahui, Jose Mourinho menjadi kambing hitam atas performa minor MU di awal musim 2018/2019. Setan Merah di empat pekan awal Premier League sudah mengalami dua kali kekalahan dan menempati posisi ke-10 dengan enam poin dari empat laga.  Selanjutnya, The Red Devils akan menghadapi Watford di ajang Premier League. Laga tersebut akan dihelat pada Sabtu 15 September 2018 mendatang.  "
Diam-diam Coutinho Coba Rebut Posisi Messi di Barcelona;https://www.viva.co.id/bola/liga-spanyol/1072132-diam-diam-coutinho-coba-rebut-posisi-messi-di-barcelona;"VIVA – Performa gemilang Lionel Messi diambang titik akhir. Usianya yang sudah tidak lagi muda (31 tahun) lambat laun bakal membuatnya tergeser dari skuat utama Barcelona. Bak gayung bersambut, Messi pun mengirim sinyal bakal meninggalkan Camp Nou.  Ya, pemain asal Argentina ini memang memiliki kontrak dengan Blaugrana hingga 2021 mendatang. Namun dia juga tidak menepis keinginan untuk hengkang. ""Saya hanya berpikir tentang momen bisa melanjutkan bermain. Ketika masa itu tiba, saya akan memutuskan,"" kata Messi. Langkah Barcelona selanjutnya tentu mencari suksesor yang tepat. Mantan pemain Barca, Ronaldinho buka suara terkait hal tersebut.  Dia menilai jika ada satu nama yang diam-diam coba menunjukkan diri untuk menjadi bintang di Barcelona. Dia adalah Philippe Coutinho. Performa sang pemain menunjukkan grafik meningkat setelah bergabung dengan Barcelona, Juni 2018 lalu.  Puncaknya ketika dia menjadi pemain kunci bersama timnas Brasil di Piala Dunia 2018 lalu. ""Coutinho adalah nama besar di beberapa tahun belakangan. Dia adalah pemain dengan kualitas mempuni. Tidak ada keraguan jika dia akan menjadi kunci utama Barcelona untuk beberapa tahun ke depan,"" kata Ronaldinho, seperti dilansir Marca.  ""Saya suka gaya bermain Coutinho dan dia sudah memahamai gaya permainan di LaLiga,"" lanjut dia.  "
Timnas Prancis Menggila, Sikap Malu-malu Kante Jadi Sorotan;https://www.viva.co.id/bola/soccertainment/1072070-timnas-prancis-menggila-sikap-malu-malu-kante-jadi-sorotan;"VIVA – N'Golo Kante kembali menjadi sorotan. Ini terkait sikap malu-malunya dalam kemeriahan Timnas Prancis saat berkumpul tengah pekan ini jelang jeda internasional. Momen ini terjadi saat para pemain Timnas Prancis makan malam bersama untuk pertama kalinya usai menjuarai Piala Dunia 2018 di Rusia. Semangat positif pun terlihat bahwa para pemain Les Bleus dalam kondisi siap tempur untuk berlaga di kompetisi non resmi, UEFA Nations League pekan ini. Dari video yang dilansir The Sun, para pemain Timnas Prancis bernyanyi bersama yang dipimpin oleh kiper Benjamin Lecomte yang berdiri di atas kursi. Seluruh pemain Prancis tampak gembira dan memutar-mutar serbet. Sementara Kante hanya tertawa dan tampak malu untuk mengikuti tingkah rekan-rekannya.    Kante bahkan menolak sambil tertawa terkait tawaran dari rekan yang duduk di sampingnya, Adil Rami untuk turut memutar-mutar serbet dan bernyanyi. Video ini pun sontak menjadi viral di dunia maya. Sejumlah netizens banyak yang suka dengan sikap Kante. Pemain 27 tahun itu dianggap rendah hati. Sebelumnya, sikap rendah hati alamiah Kante menjadi sorotan saat di Piala Dunia 2018. Dia malu-malu ingin memegang trofi Piala Dunia yang 'dikuasai' rekan-rekannya.   ""Dia memang terlalu malu untuk berkata, 'berikat trofinya kepada saya'. Jadi dia lebih memilih untuk menunggu,"" kata rekan setim Kante, Olivier Giroud saat itu. ""Dan beberapa pemain melewatinya. Hingga pada akhirnya ada pemain yang sadar dan mengambil trofi itu untuk diberikan kepada Kante,"" lanjut Giroud.   "
