Title;Url;Berita
Mengintip 'Wajah' Ibukota Berkat Jakarta Smart City;https://www.viva.co.id/digital/digilife/1072141-mengintip-wajah-ibukota-berkat-jakarta-smart-city;"VIVA – Konsep penerapan kota pintar, Jakarta Smart City, akan membawa sejumlah perubahan. Salah satunya memotong jalur penyampaian laporan masyarakat terhadap dinas di pemerintahan. Nantinya, laporan itu akan masuk langsung ke pihak Kelurahan.  ""Itu lebih cepat dibandingkan harus masuk ke admin dulu, baru admin nyebarin ke terkait,"" kata Kepala Unit Pelaksana teknis (UPT) Jakarta Smart City, Setiaji ditemui saat acara Virtus Showcase 2018, di Jakarta, belum lama ini. Dia mengungkapkan pengaduan yang masuk akan langsung diterima dalam aplikasi bernama CRM. Nanti akan keluar notifikasi saat ada laporan.  Sedangkan untuk pengerjaan laporan, Setiaji mengklaim bahwa ada perubahan signifikan rata-rata laporan yang dikerjakan. Awalnya pengerjaan mencapai 300 jam. ""Rata-rata 300 jam hampir seminggu lebih, bisa dikurangin hingga 9 jam. Paling cepat 7 menit,"" kata Setiaji.  Dia menambahkan bahwa awalnya pihak-pihak itu agak terganggu menerima laporan dalam waktu berdekatan. Namun sekarang Setiaji mengatakan sudah tidak lagi.  Selain itu, Smart City juga menggunakan Internet of Things (IoT) dalam penerapannya. Salah satunya untuk menelusuri pergerakan Transjakarta, truk sampah, dan ambulans.  Untuk ambulans, penerapannya dengan mencari yang terdekat dengan lokasi laporan dalam waktu yang berdekatan. ""Kemudian banjir, bisa tahu water  di Katulampa kondisinya sudah seperti apa, darurat, bahaya, dengan itu kan di sensor sudah tahu, sehingga bisa adaptasi lebih cepat dibandingkan orang lapor manual,"" ujarnya.  Untuk mempermudah aktivitas masyarakat Jakarta, Setiaji mengatakan pihaknya juga sedang mempersiapkan aplikasi bernama Jakarta Kini. Dia menuturkan aplikasi ini akan seperti Google Assistant. Masyarakat bisa mengetahui informasi langsung mengenai keadaan lalu lintas dan juga cuaca melalui Jakarta Kini.  ""Atau, misalnya saya mau pulang ke daerah Jakarta Timur, nanti diinformasi daerah yang biasa Anda lewati ada traffic jam karena macet atau kecelakaan, mendingan Anda mampir ke toko sebelah karena ada diskon. Jadi informasi yang mengejar Anda,"" kata Setiaji.  Jakarta Kini memiliki data lokal dibandingkan dengan Google Maps. Pihaknya ingin memanfaatkan ini, dengan meminta kontribusi masyarakat untuk memasukkan aktivitas yang dikerjakan misalnya saat berada di car free day.  ""Sebenarnya Google Maps itu dari kita data penutupan jalan, event, kenapa enggak kita sendiri saja yang memanfaatkan data itu. Dan nuansanya nuansa lokal,"" tambahnya.  Saat ini aplikasi Jakarta Kini masih dalam proses. Kemungkinan baru akhir tahun dirilis. "
Open Source di Smart City Bukan Berarti Data Penduduk Diumbar;https://www.viva.co.id/digital/digilife/1072114-open-source-di-smart-city-bukan-berarti-data-penduduk-diumbar;"VIVA – Pengaplikasian Smart City dikabarkan lebih rentan terkena serangan siber akibat data yang dibuka kepada umum. Namun, menurut Associate Consultant IDC Indonesia, Muhammad Kamil Yunus, ada kesalahan pengertian mengenai hal itu. ""Open source data bukan Bukan berarti lebih rentan terkena serangan. Yang harus diketahui dan dipahami policy-nya. Tidak sembarangan bisa ambil data,"" kata Kamil, ditemui dalam acara Virtus Showcase 2018, Jakarta, Rabu, 5 September 2018. Selain itu, berkaitan dengan internet of things (IoT), ia mengungkapkan bukan hanya mengenai sebuah sensor lalu memasukkan data. Tapi, terdapat langkah-langkah yang harus dilakukan, di mana salah satunya mengenai keamanan. Hal itulah yang bisa menekan keretanan dalam Smart City. ""Di Jakarta misalnya. IoT menggunakan standard ISO 270001. Jadi IoT yang terkonek dengan sistem harus memenuhi standard,"" paparnya. Senada, Kepala Unit Pelaksana Teknis Jakarta Smart City, Setiaji, menyebut ada ketentuan jenis data yang bisa dibuka oleh publik. Misalnya, data kependudukan hanya disebutkan mengenai jumlah penduduk di suatu daerah. ""Contohnya di wilayah Jakarta. Berapa sih jumlah laki-laki dan perempuan. Yang di-open itu enggak usah di-hack orang juga bisa ambil. Gratis pula,"" jelas Setiaji. Data-data yang dibuka untuk umum ini, lanjut dia, tersedia di laman resmi Pemerintah Provinsi DKI Jakarta. Setiaji mengatakan bahwa ada 3.000 lebih data yang open source di sana. ""Data yang di-open ke masyarakat dalam bentuk Ms Excel. Bisa download analisis seperti rasio guru dengan jumlah murid,"" tuturnya. "
Masterplan Jakarta Safe City Akan Diluncurkan, Apa Saja yang Dibahas;https://www.viva.co.id/digital/digilife/1072111-masterplan-jakarta-safe-city-akan-diluncurkan-apa-saja-yang-dibahas;"VIVA – Unit Pelaksana Teknis Jakarta Smart City akan meluncurkan Masterplan Jakarta Safe City pada akhir September 2018. Tujuannya untuk mengurangi tingkat kriminalitas dan rasa aman bagi warga Jakarta. Kepala Unit Pelaksana Teknis Jakarta Smart City, Setiaji mengatakan, salah satu yang dibahas di dalam masterplan ini mengenai teknologi yang akan dihadirkan. ""Mulai dari CCTV, koneksi, keamanan, dan sensor apa saja yang dibutuhkan untuk mendukung Safe City,"" kata Setiaji di Jakarta, Rabu, 5 September 2018. Tidak hanya dari segi teknis, masterplan ini juga akan membahas mengenai model integrasi antarlembaga dalam menjalankan Safe City. ""Kelembagaannya mau bentuknya seperti apa. Karena kalau bicara soal Safe City harus berhubungan dengan kepolisian, sementara kepolisian ada di pemerintah pusat. Apakah perlu membentuk lembaga baru, itu ada di sana (masterplan),"" papar dia. Setiaji menambahkan Jakarta Safe City akan mencari formula respons dari setiap laporan. Seperti pihak mana yang akan menerima dan mengkoordinasikan dengan pihak lainnya. Ia lalu mencontohkan saat terjadi kebakaran, di mana PT Perusahaan Listrik Negara (Persero) akan diikutsertakan. ""Paling ekstrem, ya, kebakaran. Mainnya di dinas kebakaran tapi harus diatur lampu lalu lintasnya. Artinya dinas perhubungan. Di lokasi harus dijaga perimeternya. Listrik harus dimatikan dulu, berarti kaitannya sama PLN,"" ujar Setiaji. Sejumlah sensor juga akan digunakan dalam Jakarta Safe City ini seperti panic button dan CCTV dengan kualitas gambar yang lebih baik. "
Setelah Gatot Kaca, Ada Nyi Roro Kidul di Barisan Hero ML;https://www.viva.co.id/digital/digilife/1072066-setelah-gatot-kaca-ada-nyi-roro-kidul-di-barisan-hero-ml;"VIVA – Mobile Legends: Bang Bang atau MLBB melahirkan konten khas Indonesia, sejalan dengan rencana mereka untuk membuka cabang di Tanah Air. Konten yang dilahirkan ialah karakter hero wanita yang terinspirasi dari cerita rakyat Nyi Roro Kidul, Kadita. Sebelumnya, MLBB merilis hero Gatot Kaca yang juga mempunyai karakteristik yang kuat. Kadita sendiri berasal dari elemen air yang mempunyai kekuatan magis. Ia didesain untuk menjadi dua mode sekaligus dalam satu wujud, yaitu ikan dan manusia. Jika sekilas diperhatikan, pada bagian kaki memang menyerupai sirip ikan.
 
""Kita mau membawa cerita rakyat ke kancah internasional. Ini sebagai bentuk apresiasi dan dedikasi kita terhadap perkembangan MLBB di sini. Kita cari hero yang kekuatannya dahsyat, punya cerita yang unik dan menarik, juga atas dasar permintaan player. Jadi, kita lahirkan Kadita,"" ujar Operational Manager Moonton, Dimaz Wiratama di Jakarta, Rabu 5 September 2018. Namun, sayangnya Kadita belum disempurnakan, masih ada beberapa tes yang harus hero wanita tersebut jalankan. Setelah selesai tes, baru akan diajukan ke kantor utama. Wira mengaku hero Kadita baru berjalan sekitar 60 persen dan belum bisa dipastikan perilisannya secara resmi. Bak Ratu Pantai Selatan, Kadita tampil dengan nuansa hijau yang kental. Tim konten lebih menonjolkan keanggunannya dengan membawa senjata trisula. Senjata tersebut melambangkan kemenangan dan gagah berani. Jedar pengisi suara hero Layla Jessica Iskandar, ibu muda beranak satu ini diberi kesempatan untuk mengisi suara hero Layla. Hero tersebut menjadi karakter yang ikonik, player baru akan bertemu Layla saat mode tutorial. Menurut Wira, tim mereka akan lebih banyak menghadirkan voice over dengan Bahasa Indonesia. Hal tersebut juga berdasarkan hasil survei player yang menyatakan puas dengan suara artis yang akrab di sapa 'Jedar'. Ia sendiri mengaku senang bekerjasama dengan MLBB. ""Seneng banget diajak kerja sama dengan ML. Soalnya, kan banyak teman dan keponakan aku yang juga main itu. Aku ngisi suara Layla, dia itu hero yang Indonesia banget. Dia punya senjata yang buster-nya kuat,"" ujarnya. (asp) "
Asyik, Mobile Legends Bakal Buka Kantor Cabang di Indonesia;https://www.viva.co.id/digital/digilife/1072036-asyik-mobile-legends-bakal-buka-kantor-cabang-di-indonesia;"VIVA – Mobile Legends: Bang Bang adalah salah satu MOBA (mobile game) yang dibuat oleh pengembang asal Shanghai, Moonton Technology. Sampai saat ini game tersebut sudah hadir di 100 negara, salah satunya Indonesia. Sejak rilis, mereka sudah melewati delapan season, dengan 63 hero yang dihadirkan. Moonton juga sudah melakukan 200 pembaruan, salah satunya penambahan fitur live broadcast. Pengguna ML saat ini sudah mencapai 200 juta di seluruh dunia. Di Tanah Air sendiri MOBA menjadi nomor satu, bahkan dalam kelas e-sports. ""Tepat setengah tahun lalu kami mengadakan kompetisi MTC di Indonesia, terima kasih atas sambutan yang begitu hangat. Untuk merespons antusias pengguna, kami akan memperbaiki kualitas dari segala kendala,"" ujar Co-Founder Moonton, Watson, di Jakarta, Rabu 5 September 2018. Sampai sekarang di Indonesia sendiri jumlah akun yang mendaftar MOBA tersebut sudah mencapai 70 juta, sedangkan pemain aktifnya 30 juta per bulan, dan jumlah battle per harinya mencapai 62,4 juta. Demi meningkatkan kualitas, Moonton akan segera membuka kantor cabang pertama di dunia, dan Indonesia menjadi negara yang dipilih. Dari total 200 juta pengguna, 100 juta penggemar ML memang berada di Indonesia. ""Kita rekrut karyawan yang potensial, yang bisa berikan layanan sepenuhnya. Jadi nantinya mereka enggak usah repot-repot pakai Bahasa Inggris. Kita juga terima kritik dan saran yang membangun dari pro players,"" ujar Operational Manager Moonton Indonesia, Dimaz Wiratama dalam kesempatan yang sama. Namun, Wira belum mau menjelaskan secara gamblang mengenai detail 'bakal' kantor Moonton di Tanah Air. Ia mengharapkan, perusahaan bisa mulai beroperasi pada tahun ini juga. ""Nanti akan diisi oleh tim konten, mereka itu yang akan buat hero baru, ada juga partnership, marketing plan, dan customer service. Kita juga akan sering adakan gathering biar bisa dengar keluhan secara langsung,"" jawabnya. Pembukaan kantor cabang di Indonesia juga mempunyai tiga tujuan utama, antara lain untuk memperbanyak konten dan voice over khas Indonesia. Mereka juga ingin tumbuh bersama industri gim, e-sports dan konten asli negara ini. "
Jepang Akan Uji Coba Lift Luar Angkasa Akhir September 2018;https://www.viva.co.id/digital/teknopedia/1072017-jepang-akan-uji-coba-lift-luar-angkasa-akhir-september-2018;VIVA – Jepang akan melakukan uji coba perdana lift luar angkasa pada akhir September 2018. Mereka akan menguji teknologi ini dengan mengirimkan dua satelit sebagai miniatur lift ke luar angkasa. Peralatan uji coba ini telah dikembangkan oleh para peneliti dari Universitas Shizuoka. Dua satelit akan dipasangi Roket H-2B yang akan diluncurkan pada pekan depan dari pulau selatan Tanegashima oleh Badan Antariksa Jepang (JAXA). Mengutip situs Ubergizmo, Rabu, 5 September 2018, uji coba akan menggunakan miniatur lift yang pada dasarnya kotak sepanjang enam sentimeter dengan lebar dan tinggi masing-masing tiga sentimeter. Miniatur lift itu dilengkapi sebuah motor penggerak. Hal ini dimaksudkan sebagai bukti konsep dengan memindahkan kabel sepanjang 10 meter di sepanjang ruang di antara dua miniatur satelit. Lift akan keluar dari wadah di salah satu satelit dan berjalan di sepanjang kabel. Tak pelak, ini akan menjadi percobaan pertama di dunia untuk menguji gerakan elevator di luar angkasa. Pergerakan kotak lift yang dilengkapi motor penggerak itu akan dipantau oleh kamera-kamera yang terpasang di kedua satelit. Dalam proyek tersebut, perusahaan konstruksi Jepang, Obayashi, berkolaborasi dengan tim peneliti Universitas Shizuoka. Obayashi juga diketahui tengah menjajaki sejumlah cara berbeda untuk mewujudkan lift luar angkasa untuk membawa wisatawan ke luar angkasa pada 2050. Mereka mengaku bisa menggunakan teknologi carbon nanotube, yang diketahui 20 kali lebih kuat dari baja, untuk merakit sebuah lift di ketinggian 96 ribu kilometer di atas permukaan Bumi. Kendati demikian, uji coba ini masih sangat jauh dari tujuan utama proyek ini, yakni mewujudkan lift luar angkasa yang sebenarnya. 
Diam-diam, Instagram Bikin Aplikasi Khusus Belanja Online;https://www.viva.co.id/digital/oprek/1071994-diam-diam-instagram-bikin-aplikasi-khusus-belanja-online;VIVA – Setelah meluncurkan fitur IGTV, Instagram kabarnya sedang mengerjakan aplikasi mandiri yang dikhususkan untuk berbelanja. Seperti dilaporkan The Verge, pada Selasa, 4 September 2018, kemungkinan aplikasi itu akan diberi nama ‘IG Shopping’, yang akan memberi kemudahan bagi pengguna untuk menelusuri koleksi barang dari pedagang, serta dapat membeli langsung. Belum ada informasi kapan 'IG Shopping' akan diresmikan. Malah, beredar spekulasi bahwa bisa saja Instagram membatalkan peluncurannya sebelum dirilis. Tetapi, seorang sumber dalam Instagram mengatakan bahwa perusahaan itu berada dalam posisi yang sangat baik untuk masuk dalam industri e-commerce. Pada platform media sosial tersebut sudah ada lebih dari 25 juta akun bisnis. 2 juta di antaranya adalah pengiklan. Menurut Chief Operating Officer Facebook Sheryl Sandberg, 4 dari 5 pengguna Instagram mengikuti setidaknya satu akun bisnis. Aplikasi 'IG Shopping' memungkinkan perusahaan untuk menyediakan lapak bagi pebisnis berjualan. Transaksi jual beli akan melibatkan tampilan foto di feed maupun Instagram Story. Kabarnya hingga kini perusahaan masih melakukan pengembangan fitur. Namun, ketika dikonfirmasi, Instagram menolak memberi keterangan. 
Facebook Siapkan 'War Room' Jelang Pemilu, Begini Penampakannya;https://www.viva.co.id/digital/digilife/1071968-facebook-siapkan-war-room-jelang-pemilu-begini-penampakannya;"VIVA – Media sosial Facebook telah membangun sebuah ruangan khusus untuk memantau pemilihan umum atau disebut ""War Room"". Keberadaan ruangan khusus ini untuk mencegah berita maupun informasi palsu atau hoax yang beredar di platform tersebut, khususnya menyambut pemilihan umum paruh waktu di Amerika Serikat. Mengutip situs Ubergizmo, Rabu, 5 September 2018, selain mencegah hoax, War Room ini juga berfungsi sebagai 'mata dan telinga' agar tidak terlibat ke dalam mega skandal yang terjadi pada saat Pemilihan Presiden dan Wakil Presiden AS pada 2016, di mana rekanan Facebook, Cambridge Analytica, berhasil mengambil data pribadi pengguna jejaring sosial itu. ""Kita sudah siap menghadapi pemilu,"" kata Head of Civic Engagement Facebook, Samidh Chakrabarti. War Room Facebook merupakan sebuah laboratorium komputer yang dikelola oleh karyawan terbaik dari seluruh unit bisnis seperti data science, engineering, dan kebijakan publik. Mereka bertugas untuk memantau, mencari, dan men-takedown berita serta informasi kampanye politik yang menyesatkan dari platform tersebut sebelum mencemari proses pemilu. Samidh menambahkan jika War Room ini akan memiliki beberapa layar di mana metrik Facebook yang penting akan dimonitor untuk aktivitas yang tidak biasa. Beberapa di antaranya akan memiliki alarm untuk memberi tahu karyawan mengenai dips atau aktivitas yang tidak terduga. ""Ruang khusus ini tidak begitu banyak yang tahu dan teknologi apa saja yang dipakai di dalamnya. Intinya, kita bisa mendiagnosis dan memperbaiki segala jenis masalah akut yang kita lihat secara jelas,"" ungkapnya. (ase) "
Nasib Layanan PlayStation 2, Setelah Eksis 18 Tahun;https://www.viva.co.id/digital/oprek/1071965-nasib-layanan-playstation-2-setelah-eksis-18-tahun;VIVA – Jika kamu seorang gamer, permainan konsol PlayStation 2 tentunya pernah mewarnai hari-harimu, beberapa tahun lalu. Meski sekarang posisinya telah berganti generasi menjadi PS4, kamu mungkin akan sedikit kaget bahwa di Jepang, Sony masih mempertahankan layanan perbaikan bagi game konsol generasi kedua itu. Ya, ketika pada tahun 2006, Sony sudah meluncurkan PS3, seri PS2 masih terus diproduksi hingga tahun 2012. Tapi sayangnya, setelah 18 tahun sejak pertama kali dijual, Sony akan menutup layanan perbaikan PS2 dalam waktu dekat ini. Seperti dilaporkan Mashable, PlayStation Clinic di Prefektur Iwate yang menangani semua perbaikan PS2, tidak akan melayani konsol yang tiba di pintunya setelah 7 September. Bulan lalu, para pemilik PS2 di Jepang diminta untuk mengisi formulir sebelum 31 Agustus jika ingin PS2 mereka diperbaiki di klinik. Dan itu adalah kesempatan terakhir kali yang diberikan. Selain itu, layanan pelanggan juga terhenti sejak akhir Agustus. Kecuali ada pihak ketiga yang ingin meneruskan masa depan PS2. PS2 adalah konsol game terlaris yang pernah dirilis Sony. Sudah terjual lebih dari 155 juta unit di seluruh dunia, dan hanya 21 juta unit yang berhasil dijual di Jepang. PS2 juga diklaim menjadi salah satu ikon dalam industri game terbesar sepanjang masa. 
5 Merek Jam Tangan Pintar Terlaris, Xiaomi Ungguli Samsung;https://www.viva.co.id/digital/piranti/1071896-5-merek-jam-tangan-pintar-terlaris-xiaomi-ungguli-samsung;"VIVA – Popularitas gadget yang bisa dikenakan semakin meningkat akhir-akhir ini. Menurut riset International Data Corporation (IDC), permintaan dalam skala skala global terus bertumbuh di setiap kuartalnya. Hal itu salah satunya dipengaruhi oleh tren jam tangan pintar seperti Apple Watch. ""Pengguna memiliki banyak keinginan untuk perangkat mereka, dan jam tangan pintar memenuhinya,"" kata Direktur Riset Wearables IDC, Ramon T. Llamas, dilansir laman Venture Beat, Rabu, 5 September 2018. Apple Watch menjadi salah satu produk jam tangan pintar yang hadir dengan banyak fitur. Ia mempertahankan posisi teratas untuk pengiriman perangkat secara internasional. Tercatat bahwa Apple meraih 17 persen saham atau naik 4 persen dibandingkan kuartal kedua tahun 2017. Sementara itu, Xiaomi menduduki peringkat kedua dengan saham 15,1 persen.  Xiaomi menawarkan sepatu murah dan jam anak-anak Mi Bands. Penjualannya melompat dari 3,5 juta unit dikirim pada kuartal yang sama tahun lalu ke angka 4,2 juta kuartal ini. Sedangkan peringkat tiga diisi Fitbit dengan 9,5 persen saham. Huawei juga mengalami lonjakan dalam pengiriman, yaitu 1,8 juta dari 0,8 juta. Menyusul merek Garmin berada di nilai 5,3 persen dengan pengiriman hampir sama dari tahun ke tahun dan berada di urutan kelima. Namun, merek jam tangan pintar Samsung harus tergeser keluar dari peringkat lima besar. "
