Title;Url;Berita
Tanggapan Sophia Latjuba soal Foto Mesra dengan Jeremy Thomas;https://www.viva.co.id/showbiz/gosip/1072192-tanggapan-sophia-latjuba-soal-foto-mesra-dengan-jeremy-thomas;"VIVA – Foto Sophia Latjuba dan Jeremy Thomas sempat menjadi buah bibir di dunia maya. Warganet menilai, foto itu terlalu mesra. Sophia pun terkejut saat ditanya mengenai beragam komentar yang mampir ke Instagram miliknya, terkait foto mesranya tersebut. ""Masa sih diperbincangin, itu mah diomongin sama yang kurang kerjaan aja,"" kata Sophia saat ditemui di kawasan Kota Tua, Jakarta, Rabu malam, 5 September 2018. Sophia dan Jeremy memang tengah beradu akting dalam film Mata Batin. Bahkan keduanya dipasangkan sebagai suami-istri. Namun foto itu tak ada kaitan dengan adegan dalam salah satu film tersebut. ""Bukan juga. Foto berdua aja,"" ucapnya. Mantan kekasih Ariel Noah itu bingung mengapa fotonya diperbincangkan begitu ramai. Padahal, orang-orang di sekitar, termasuk istri Jeremy, menanggapinya biasa saja. Sophia juga tak memungkiri jika foto itu dibuat sebagai kepentingan promosi. ""Itu buat foto poster Mata Batin, sama buat foto promo juga, emang kenapa sih? Foto berdua doang, heran, kontra kenapa? Istrinya (Jeremy) aja enggak apa-apa, foto doang,"" katanya. Dalam film tersebut Sophia berperan sebagai Laksmi. Ia menjadi ibu dari panti asuhan. Sementara Jeremy menjadi suaminya dengan karakter bernama Fadli. (mus)   "
Bukan Percobaan Bunuh Diri, Ini Alasan Artis Goo Hara Dirawat;https://www.viva.co.id/showbiz/gosip/1072184-bukan-percobaan-bunuh-diri-ini-alasan-artis-goo-hara-dirawat;"VIVA – Dunia hiburan Korea Selatan dihebohkan dengan kabar overdosis dan percobaan bunuh diri Goo Hara. Isu ini beredar luas di media sosial. Dikatakan, artis cantik ini dilarikan ke rumah sakit karena mengonsumsi obat tidur untuk mengakhiri hidupnya. Ia pun diisukan menjalani rawat inap di sebuah rumah sakit karena tindakannya tersebut. Penggemar pun mengkhawatirkan kondisi mantan personel KARA ini. Tak ingin isu terus merebak, manajemen Goo Hara, Content Y langsung memberikan tanggapan soal isu yang menghebohkan tersebut. Mereka membantah rumor yang ramai diperbincangkan dan beredar dari sejumlah aplikasi tersebut. ""Desas-desus itu benar-benar salah,"" kata perwakilan manajemen Goo Hara seperti dilansir dari Toggle. Diungkapkan pihak Content Y, artisnya tersebut memang sempat menjalani perawatan beberapa waktu lalu. Hanya saja, perawatan yang dijalani Goo Hara untuk masalah gangguan tidur dan pencernaan.  ""Ia pergi ke rumah sakit untuk menjalani pemeriksaan,"" ujarnya. Soal kondisi Goo Hara belum bisa diungkapkan. Katanya semua tergantung pada hasil pemeriksaan.  Jika Anda butuh bantuan konsultasi untuk mengatasi masalah depresi atau Anda melihat orang yang ingin melakukan aksi bunuh diri bisa menghubungi nomor darurat Kementerian Kesehatan di 119. "
Kisah Cinta Terlarang Anak Jackie Chan Jadi Sorotan;https://www.viva.co.id/showbiz/gosip/1072177-kisah-cinta-terlarang-anak-jackie-chan-jadi-sorotan;"VIVA – Etta Ng, anak yang tak diakui Jackie Chan memang kerap membuat kontroversi. Ia sempat dikabarkan menghilang, dan kini kembali menjadi perbincangan setelah mengumumkan pertunangannya dengan kekasih wanitanya, Andi Autumn. Etta mengumumkan pertunangannya di Facebook.  Dari pengakuan itu, warganet memperhatikan bahwa putri Jackie Chan dari hubungan terlarangnya dengan mantan ratu kecantikan Hong Kong, Elaine Ng itu mengganti nama belakangnya dari Wu menjadi Zen. Diduga itu sebagai tanda bahwa Etta sia-siap untuk menikahi kekasih wanitanya yang asal Kanada tersebut.  Sementara itu, ibunda Etta, Elaine hanya bisa pasrah dengan keputusan putrinya tersebut. Ia juga menyetujui keinginan anaknya yang ingin menetap di Kanada.  ""Saya baik-baik saja selama semua orang bahagia. Saya tak memiliki komentar apapun,"" katanya seperti dilansir dari Toggle.  Pernyataan ini sangat berbeda dari komentar Elaine sebelumnya. Beberapa waktu lalu, ia sangat menentang keputusan putrinya yang terlibat cinta sejenis. Kabarnya, Elaine memilih melunak menghadapi anaknya tersebut. Seperti diketahui, hubungan ibu dan anak ini memang tak harmonis. Etta pernah melaporkan Elaine ke polisi. Setelah bertambah usia dan hidup mandiri, Etta memilih untuk tinggal sendiri.  Sedangkan Jackie Chan belum memberikan komentar apapun soal pertunangan anaknya dengan sesama wanita tersebut. Tetapi, sebelumnya aktor laga ini sudah menuai kritik dan hujatan. Ia dianggap tak bertanggung jawab dengan putrinya tersebut. Selain itu, ia dituduh pengecut dan juga tidak layak menjadi seorang ayah. Jackie Chan memang tak mengakui Etta sebagai putrinya. Ia mengungkapkan hanya memiliki satu anak, yakni putranya Jaycee Chan.   "
On Happiness Road, Film Animasi Taiwan yang Banjir Penghargaan;https://www.viva.co.id/showbiz/film/1072167-on-happiness-road-film-animasi-taiwan-yang-banjir-penghargaan;VIVA – Taipei Economic and Trade Office (TETO), mengadakan nonton bareng film animasi asal Taiwan, On Happiness Road, Rabu 5 September 2018, di Plaza Semanggi, Jakarta Selatan. Pemutaran film Taiwan ini bertujuan untuk memperkenalkan karya seni dari negara tersebut.  Film On Happiness Road sendiri berkisah tentang suka duka dan perjuangan hidup dari gadis Taiwan bernama Li Shu Chi. Kisah hidup Shu Chi digambarkan secara  detail dalam film ini dengan alur cerita maju mundur yang dijamin bisa sedikit membuat penonton merasa pusing. Dari Shu Chi mulai lahir hingga tumbuh dewasa, digambarkan dalam cerita yang dibalut oleh romansa dan kebudayaan masyarakat Taiwan. Ditayangkan melalui bentuk animasi. Secara keseluruhan film ini mengandung pesan tentang bagaimana keluarga akan tetap ada di setiap kondisi yang kita alami. Dalam hal ini adalah hubungan anak dan kedua orangtua. Film ini dianggap berhasil membawa para penontonnya ikut larut dalam tawa dan haru yang mengalir dalam cerita kehidupan yang terkesan nyata dalam masyarakat Taiwan. Film ini sendiri pertama kali dirilis di Taiwan pada bulan Januari, tahun 2018. Naskah film ini mendapat bantuan subsidi dan butuh waktu selama empat tahun untuk selesai diproduksi. Meski demikian, film yang disutradarai oleh Hsin Yin Sung ini banyak meraih penghargaan, di antaranya adalah Golden Horse Award, Grand Prize di Tokyo Anime Festival sebagai film animasi terbaik, Best Animated Feature Film Award di Stuttgart Animation Festival, film animasi terbaik dalam Taipei Film Award 2018, dan film animasi terbaik di Seoul International Film Animasi Festival.     
Dituduh Bikin 2NE1 Bubar, Park Bom Angkat Bicara;https://www.viva.co.id/showbiz/gosip/1072129-dituduh-bikin-2ne1-bubar-park-bom-angkat-bicara;VIVA – Sejak debut pada 2009, grup musik 2NE1 akhirnya harus bubar pada 2016 meninggalkan penggemarnya di seluruh dunia dalam kesedihan. Keempat anggotanya kini sibuk dengan pekerjaan masing-masing. Minzy fokus membangun solo karier dari nol, CL masih mencoba untuk menembus pasar Amerika Serikat, Sandara Park banyak menjadi brand ambassador produk kecantikan. Sementara nasib Park Bom masih tanda tanya. Walaupun begitu lewat akunnya di Instagram, penyanyi 34 tahun itu diketahui sudah bergabung dengan agensi baru dan terlihat mengerjakan proyek musik dengan seorang produser. Namun di tengah dukungan yang mengalir untuknya, ada saja haters yang menuduh bahwa Park Bom yang menjadi penyebab kehancuran 2NE1. Diketahui, Park Bom pernah terlibat masalah penggelapan obat-obatan terlarang dengan kepolisian Korea Selatan. “Kalau bukan karena skandalmu maka 2NE1 masih ada sampai saat ini. Dasar pecandu narkoba,” ujar warganet dalam kolom komentar, seperti dilansir dari laman Koreaboo.  “Kamu menghancurkan 2NE1 tapi aku tetap mencintaimu,” kata yang lainnya dan langsung mendapat balasan dari Park Bom. Menurutnya, ada orang lain yang menjadi dalang kehancuran 2NE1, namun Park Bom tidak menyebutkan namanya. “Bukan saya pelakunya, tapi orang lain,” ujar teman duet T.O.P dan G-Dragon tersebut. Alhasil penyataan Park Bom mendadak viral dan banyak yang berspekulasi menebak siapa sosok yang dimaksud sebagai dalang bubarnya grup musik asuhan YG Entertainment itu. 
Heboh Insiden Artis Korea Chanyeol EXO di Bandara Shanghai;https://www.viva.co.id/showbiz/gosip/1072161-heboh-insiden-artis-korea-chanyeol-exo-di-bandara-shanghai;"VIVA – Personel EXO, Chanyeol memiliki pengalaman tak menyenangkan di Bandara Shanghai, China pada Rabu 5 September 2018. Saat tiba di bandara, sudah banyak kerumunan penggemar. Sebuah insiden pun terjadi.  Saat di bandara tersebut, penggemar langsung berkerumun. Dan sandal yang dipakainya putus karena diinjak orang yang berdesak-desakan tersebut.  Chanyeol pun memutuskan untuk membahas insiden tersebut melalui akun Instagram miliknya. Ia juga memperlihatkan sandalnya yang rusak karena insiden tersebut. Ia menuliskan peringatan untuk para penggemarnya. ""Saya harap penggemar yang datang ke bandara menjaga ketertiban. Bandara adalah tempat yang tidak hanya digunakan oleh kita, tetapi juga orang lain seperti penumpang, orang yang menunggu keluarganya, dan anak-anak. Sebuah situasi terjadi hari ini yang bisa membuat jari seseorang dalam bahaya daripada sandalku yang rusak,"" katanya seperti dilansir dari Soompi. Ia mengungkapkan bahwa sejumlah pengawal yang menjaganya sudah mengingatkan penggemarnya untuk tidak saling dorong. Namun, sayangnya peringatan itu tak dianggap. ""Sangat melegakan bahwa tak ada yang terluka. Saya harap kalian akan lebih berhati-hati di masa depan agar tidak ada yang terluka di ruang publik seperti bandara. Saya berterima kasih atas cinta kalian, dan akan menjadi seseorang yang dapat membalas cinta itu,"" ujarnya.       "
Dewa Budjana Kolaborasi dengan Eks Gitaris Red Hot Chili Peppers;https://www.viva.co.id/showbiz/musik/1072159-dewa-budjana-kolaborasi-dengan-eks-gitaris-red-hot-chili-peppers;"VIVA – Dewa Budjana, gitaris GIGI akan menggelar konser tunggal bertajuk Samuccaya Dewa Budjana pada bulan Desember 2018 mendatang. Dia akan melibatkan musisi serta menggaet Jay Subiakto sebagai Creative Director dalam konser tersebut. Tur ini sekaligus dalam rangka perilisan album solo ke 10, yang diberi judul Mahandini.  Samuccaya sendiri bermakna untaian. Sementara Mahandini berasal dari dua suku kata, Maha dan Nandini. Maha adalah sesuatu yang besar atau luar biasa dan Nandini adalah kendaraan. Sehingga album ini bermakna kendaraan yang agung.  ""Karena album saya rilisnya mundur di November atau Desember jadi kita bikin tur dulu. Konsepnya instrumental, enggak ada penyanyi, cuma ada gitar, bass, drum, keyboard dan suling,"" katanya saat jumpa pers di Lemmon Studio, Pasar Minggu, Jakarta Selatan, Rabu, 5 September 2018.  Adapun lima kota terpilih seperti Purwokerto (12 September), Cirebon (13 September), Yogyakarta (18 September), Semarang (20 September) dan Solo (25 September).  ""Ya seperti biasa, konsep nyusun lagu dan kita latihan dengan sound system yang sama dengan lampu yang sama jadi di setiap kota konsepnya sama. Tiap kota nanti ada bawakan 12 lagu,"" ujar pria berusia 55 tahun itu.  Sementara itu, Budjana mengaku album barunya itu direkam pada bulan Januari lalu di Amerika Serikat. Dalam albumnya ada dua lagu karangan John Frusciante, mantan gitaris Red Hot Chili Peppers. Mereka sudah kenal akrab sejak tahun 2015.  ""Saya diberi kepercayaan untuk bisa dekat sama dia yang setelah dia keluar dari Red Hot Chili Peppers, sangat sulit untuk ditemui. Tapi enggak tahu sama saya gampang untuk ketemu, dan saya minta dia untuk ngarang lagu mau, nyanyi mau juga, jadi itu sebuah rezeki aja,"" ungkap Budjana. 
  "
Aurel Hermansyah Bongkar Rahasia Ashanty;https://www.viva.co.id/showbiz/gosip/1072149-aurel-hermansyah-bongkar-rahasia-ashanty;"VIVA – Bukan rahasia lagi, Aurel Hermansyah dengan ibu sambungnya, Ashanty sangat dekat satu sama lain. Mereka bukan hanya seperti ibu dan anak tetapi juga seperti sahabat. Keduanya sangat akrab dan kompak. Keduanya juga saling memuji satu sama lain. Namun, dalam sebuah video yang diposting akun @genk_ijo, terdapat sebuah video yang memperlihatkan Aurel sedang menjawab pertanyaan dari warganet. Namun, di sela-sela tersebut, Aurel tampak berbincang dengan Ashanty. Ia menggoda ibundanya tersebut. Kemudian Ashanty tampak membacakan kriteria kebutuhan seorang suami, yang dilihat dari Instagram. ""Kebutuhan seorang suami, satu istri sebagai sahabat, istri yang menarik,"" kata Ashanty. Aurel langsung membalas yang Ashanty bacakan tadi. Ia membahas soal istri yang menarik. Bahkan, putri sulung Anang Hermansyah dari Krisdayanti ini membocorkan rahasia Ashanty, yang ternyata senang tampil santai tanpa make-up saat di rumah.  ""Tuh bun, istri yang menarik. Makanya bunda kalau di rumah dandan. Bunda di rumah gitu pakai bulu mata palsu, pakai bulu mata yang tebal-tebal,"" kata Aurel menggoda Ashanty sambil tertawa. Sementara di video lainnya, Aurel memperlihatkan Ashanty yang sedang sakit. Hanya saja, Ashanty tetap mendekati Aurel dan memperlihatkan wajahnya ke kamera. Namun, istri Anang Hermansyah ini mengaku tak percaya diri. Ia pun memuji Aurel cantik. ""Benar2 natural ya mereka,"" kata salah satu warganet. ""Aurel makin cantik,"" kata yang lainnya. ""Natural,"" kata yang lainnya. ""Tetap cantik bun,"" ujar yang lainnya. ""Manizz,"" kata yang lainnya memuji.   
  "
Cerita Lain di Balik Persahabatan Shah Rukh Khan dan Salman Khan;https://www.viva.co.id/showbiz/gosip/1072155-cerita-lain-di-balik-persahabatan-shah-rukh-khan-dan-salman-khan;"VIVA – Shah Rukh Khan dan Salman Khan, dua nama yang tak terpisahkan dari industri film Bollywood. Keduanya sama-sama aktor besar India. Mereka juga bersahabat. Meski persahabatan tak selamanya berjalan mulus, keduanya pernah bermusuhan cukup lama. Shah Rukh Khan dan Salman mampu melewati masa sulit tersebut. Kini, keduanya kembali akur dan saling mendukung satu sama lain. SRK, begitu Shah Rukh Khan biasa dipanggil mengungkapkan kesuksesannya yang kini diraihnya tak bisa dipisahkan dari keluarga Salman. Pihak di balik keberhasilannya sehingga SRK mendapat julukan King of Bollywood karena ayah Salman, Salim Khan yang diketahui sebagai penulis skenario. Ayah tiga anak ini mengaku berutang keberhasilan dan ketenaran kepada ayah Salman.  ""Ketika saya pertama kali datang ke Mumbai, saat berjuang sebagai aktor, saya makan di tempat Salman, di mana Salim sangat mendukung saya. Karena mereka aku menjadi 'Shah Rukh Khan',"" katanya saat hadir dalam acara yang dipandu Salman, Dus Ka Dum 3 seperti dilansir dari Bollywoodlife. Ia pun tak lupa dengan masa lalunya tersebut. SRK pun berjanji untuk selalu mendukung sahabatnya tersebut. ""Aku datang ke acara ini hanya karena Salman. Dan saya akan pergi ke manapun ia minta,"" ujar SRK. Dalam acara tersebut, SRK tampil dengan Rani Mukerji. Mereka menghidupkan kembali peran mereka di film Kuch Kuch Hota Hai. Salman sendiri menjadi cameo di film yang meraih sukses tersebut.  Sementara itu, SRK akan tampil di film Zero bersama Katrina Kaif dan Anushka Sharma. Sedangkan Salman akan syuting untuk film terbarunya, Bharat.   "
Pengalaman Mistis Nabilah Eks JKT48;https://www.viva.co.id/showbiz/gosip/1072153-pengalaman-mistis-nabilah-eks-jkt48;"VIVA – Nabilah Ratna Ayu Azalia rupanya punya pengalaman mistis. Mantan personel JKT48 ini pernah dihantui semasa kecilnya. Ia seperti melihat sosok yang dipercaya sebagai kuntilanak. ""Jadi tiap sakit selalu lihat kayak kuntilanak gitu di atas. Pas lihat tangan kayak bolong-bolong gitu,"" kata Nabilah saat ditemui di kawasan Kota Tua, Rabu 5 September 2018. Orangtua Nabila resah melihat perilaku anaknya seperti itu. Mereka memutuskan membawa Nabilah ke pemuka agama. Dari pertemuan tersebut, orangtua Nabilah tahu mengapa anaknya sering mendapat gangguan. ""Akhirnya datang ke ustaz, mama aku nanya kenapa, katanya ada banyak makhluk halus yang senang sama anak yang putih,"" ujarnya. Hal tersebut dinilai sang ustaz kurang baik jika Nabilah beranjak dewasa. Saat itu Nabilah didoakan agar tak melihat dan mendapat gangguan kembali. Doa itu berhasil sampai saat ini. ""Kalau dibiarin enggak baik karena aku bisa masuk ke dunia mereka. Akhirnya didoain dan enggak bisa lihat lagi dan enggak pengen juga. Enggak tahu didoain apa,"" katanya. "
