Title;Url;Berita
Ingin Bayi Sehat, Lakukan Tes Sebelum Menikah;https://www.viva.co.id/gaya-hidup/kesehatan-intim/1072171-ingin-bayi-sehat-lakukan-tes-sebelum-menikah;"VIVA – Memiliki buah hati tentu idaman semua pasangan yang telah menikah. Sayangnya kesadaran pasangan untuk melakukan pemeriksaan diri masih rendah, sehingga tak sedikit kasus bayi meninggal atau menghadapi berbagai masalah sesaat atau beberapa hari usai dilahirkan.  Berada di dalam kandungan selama sembilan bulan dan bergantung pada ibunya, saat lahir sebenarnya bayi memerlukan proses adaptasi, baik itu suhu, napas hingga metabolisme. Tak ada jaminan bahwa kehamilan yang normal bisa menjadi jaminan 100 persen bayi lahir bugar. Menurut data Seminars in Fetal and Neonatal Medicine 2017, 70 persen kematian bayi justru terjadi di minggu pertama kehidupan.  Untuk itulah, biasanya dokter anak hadir saat seorang ibu melahirkan. Mereka akan melakukan serangkaian observasi pada bayi baru lahir, seperti tanda vital (pola napas, nadi, suhu), gula darah, feeding, buang air besar dan kecil, serta gejala lain seperti kuning, biru.  Melakukan screening usai bayi dilahirkan adalah hal yang sangat penting untuk dilakukan agar jika terjadi kelainan, bisa dideteksi sejak dini. Screening yang biasa dilakukan adalah darah, pendengaran dan jantung. Selain itu, sebenarnya jika ingin mencegah hal yang tidak diinginkan pada buah hati, pemeriksaan bisa dilakukan pasangan sebelum memutuskan memiliki keturunan.  ""Periksa screening dulu, jangan nangis nanti. Periksa waktu mau nikah, punya pembawa sifat enggak. Jangan sudah lahir nangis,"" kata Divisi Neonatalogi, Departemen Ilmu Kesehatan Anak RSUP dr. Cipto Mangunkusumo, dr. Rinawati Rohsiswatmo, Sp.A(K), usai seminar awam dan media 'Info Sehat FKUI untuk Anda,' di Ruang Senak Akademik Fakultas Kedokteran Universitas Indonesia.  Screening sebelum kehamilan bisa dilakukan oleh ibu saja jika pasangannya menolak dan merasa keberatan.  ""Kalau calon suami enggak mau (periksa), dan misal sakit tapi ibunya normal, anaknya enggak sakit, cuma pembawa sifat saja. Kalau dua-duanya (talasemia), harus ada pembicaraan khusus,"" kata Rinawati yang menyarankan pasangan melakukan pemeriksaan darah.  Lebih lanjut ia mengatakan,""Lakukanlah persiapan kehamilan, waktu nikah mestinya (tanya pasangan) punya penyakit apa. Waktu hamil periksa yang benar, imunisasi ikuti. (Jangan) satu dua ada efek samping heboh saja,"" ujarnya. Menurut dokter yang kerap disebut sebagai ahlinya bayi prematur di Indonesia ini, pemerintah juga seharusnya ikut andil mencegah kejadian Talasemia yang diturunkan dari orangtua pembawa kelainan kepada anak.  ""Sekarang di DKI semua ibu hamil diperiksa, dan kedua NTB yang melakukan itu, walaupun belum seluruh rakyat NTB. Tapi provinsi lain enggak,"" ujarnya.    "
5 Rekomendasi Restoran All You Can Eat Paling Hits di Jakarta;https://www.viva.co.id/gaya-hidup/kuliner/1072068-5-rekomendasi-restoran-all-you-can-eat-paling-hits-di-jakarta;VIVA – Menikmati makan siang atau makan malam di luar rumah menjadi salah satu kegiatan yang sering dilakukan terutama saat akhir pekan. Namun, tidak sedikit dari masyarakat yang enggan untuk makan di restoran lantaran harganya yang terbilang fantastis. Seiring berjalannya waktu, berbagai restoran mengeluarkan konsep all you can eat. Konsep ini sendiri merupakan konsep dengan membayar sejumlah uang, dan Anda bisa menikmati beragam menu yang ada sepuasnya. Tak sedikit restoran di Jakarta yang menyajikan penawaran menarik ini. Nah, bila Anda berencana untuk mengunjungi restoran dengan konsep all you can eat, berikut ini lima rekomendasinya di Jakarta yang berhasil dihimpun VIVA dari berbagai sumber. 1. Ssikkek Korean BBQ  Sesuai namanya restoran ini merupakan restoran makanan Korea dengan konsep all you can eat. Restoran ini berlokasi di Kelapa Gading dan Pantai Indah Kapuk. Beberapa makanan yang disuguhkan antara lain spicy wings, aneka daging panggang, Korean soup hingga bulgogi. Untuk harganya dibanderol Rp200 ribuan per orang. 2. Shaburi Shabu Shabu  Restoran Jepang ini menawarkan berbagai jenis makanan dengan harga Rp150 ribuan per orang. Menu yang disuguhkan adalah shabu-shabu dengan beragam jenis kuah kaldu. Restoran ini terletak di Kota Kasablanka hingga Pacific Place Jakarta. 3. Bambooo Dimsum  Restoran ini juga menyuguhkan beragam jenis dimsum hingga bakpao yang menggunakan konsep all you can eat dengan minimum pemesanan dua orang. 4. Yakinikuya BBQ Tokyo  Menu yang dijual di tempat ini adalah aneka BBQ khas Jepang dengan konsep all you can eat. Harga paket mulai dari Rp168 ribu untuk lunch dan Rp 188 ribu untuk dinner. Lokasinya di Dharmawangsa Square, Jakarta Selatan. 5. Seaside Suki  Sesuai dengan namanya, restoran ini menawarkan makanan suki atau aneka rebusan dengan berbagai jenis kuah. Untuk menu makanan di sini pun dengan konsep all you can eat seharga Rp89 ribu per orang sebelum ditambah pajak. Restoran ini bisa dijumpai di Taman Impian Jaya Ancol, Jakarta Utara. 
Perhatikan Hal Ini saat Bertemu Orang Utan di Tanjung Puting;https://www.viva.co.id/gaya-hidup/travel/1072163-perhatikan-hal-ini-saat-bertemu-orang-utan-di-tanjung-puting;"VIVA – Taman Nasional Tanjung Puting merupakan salah satu dari 51 Taman Nasional di Indonesia. Surga hijau yang membentang di ujung barat Provinsi Kalimantan Tengah ini merupakan salah satu kawasan konservasi bagi Orang Utan, serta beragam burung yang termasuk dalam daftar 20 burung terlangka di dunia.  Sebagai salah satu hewan yang tinggal di dalam ekosistem tersebut, Orang Utan menjadi salah satu magnet yang membuat para wisatawan penasaran untuk melihat spesies berbulu lebat ini secara langsung.  Dan sama seperti manusia, primata ini juga memiliki rasa tak nyaman jika mendapatkan interaksi berlebihan. Oleh sebab itu, sebelum melihat langsung orang utan, ketahui dulu larangan-larangannya, seperti disampaikan Kepala Balai Taman nasional Tanjung Puting, Helmi, usai jumpa pers Wonderful Sail to Indonesia di Kantor Kementerian Pariwisata, Jakarta Pusat ""Selain tidak boleh membawa makanan, saat masuk juga diingatkan agar tidak membuat kegaduhan, jangan terlalu banyak flash yang bisa menyebabkan rabun,"" ujarnya.  Larangan untuk memberikan makanan sembarangan adalah karena pernah terjadi seorang wisatawan dikejar orang utan lantaran kedapatan menyimpan dan menyembunyikan makanan di dalam tas.  ""Setelah diserahkan apel yang dibawa diam-diam, baru (orang utan) pergi,"" ujarnya. Biasanya hewan-hewan tersebut akan turun di waktu-waktu pemberian makan setiap jam 14.00. Momen seperti ini yang kemudian dianggap menarik dan membuat wisatawan mancanegara penasaran untuk melihat langsung bentuk hewan tersebut. Sebagai informasi, Taman Nasional Tanjung Puting terletak di jalan HM Rafi'i nomor 90 Pangkalan Bun, Kotawaringin Barat, Kalimantan Tengah. Untuk masuk dan menikmati beragam hutan yang ada di dalamnya wisatawan dikenai biaya masuk Rp5 ribu untuk warga lokal di hari biasa, sementara untuk turis sebesar Rp150 ribu di hari kerja, sementara hari libur menjadi Rp225 ribu untuk wisman dan Rp7.500 untuk lokal.  Selain menyiapkan biaya masuk, perlu diketahui untuk mencapai habitat orang utan, perlu menyusuri sungai dengan menggunakan kapal klotok, yang disewakan dengan harga mulai Rp600 ribu hingga Rp2 juta per hari.  "
Kenapa Nasi Padang Kalau Dibungkus Porsinya Lebih Banyak?;https://www.viva.co.id/gaya-hidup/kuliner/1072043-kenapa-nasi-padang-kalau-dibungkus-porsinya-lebih-banyak;"VIVA – Nasi Padang menjadi salah satu menu makanan favorit di kalangan masyarakat Indonesia. Hal ini lantaran rasa dan harga yang dibandrol sangat bersahabat dengan kantong masyarakat. Tidak heran jika saat jam makan siang atau malam, restoran Padang selalu ramai diserbu pengunjung. Tapi pernahkah Anda sadari bahwa ketika membeli nasi Padang untuk dibungkus dan dibawa pulang, porsi nasinya selalu lebih banyak dibandingkan jika dimakan di tempat? Akhirnya, alasan di balik hal itu pun terjawab. ""Kalau dibungkus memang nasinya lebih banyak karena kalau dibungkus itu nasinya dua porsi,"" kata Edi Putra selaku salah satu pendiri restoran Sepiring Padang kepada VIVA saat ditemui di Kelapa Gading, Jakarta Utara, Rabu, 5 September 2018. Dia melanjutkan, dua porsi nasi ini dimaksudkan agar bisa dimakan bersama dengan keluarga di rumah. Hal ini menjadi salah satu tradisi yang memang ada sejak lama. Selain itu, jika membungkus nasi Padang untuk dibawa pulang akan mendapatkan beberapa bonus seperti sayur dan sambal. ""Makanya saya lebih suka makan (nasi) Padang dibungkus karena porsinya lebih banyak dan akan ada bonus seperti kuah kari, sayur nangka dan sambal tapi harganya tetap sama,"" jelas dia. Selain itu, ada yang menyebutkan pula bahwa banyaknya nasi ketika dibungkus karena pertimbangan estetika. Yang mana jumlah nasi yang banyak akan membuat bungkusan nasi Padang bisa berdiri tegak. "
Serunya Makan 8 Menu Masakan Padang Favorit Dalam 1 Piring;https://www.viva.co.id/gaya-hidup/kuliner/1072037-serunya-makan-8-menu-masakan-padang-favorit-dalam-1-piring;"VIVA – Masakan Padang menjadi salah satu kuliner yang cukup populer baik di kalangan masyarakat Indonesia maupun masyarakat asing. Hal ini lantaran rasa yang disuguhkan dari berbagai menu seperti rendang, ayam pop hingga sayur nangka yang mampu menggoyang lidah. Tidak heran, jika restoran atau rumah makan Padang hampir ada di setiap sudut kota. Mulai dari yang harganya ekonomis dengan tempat makan sederhana, hingga yang cukup mahal dengan suasana restoran yang lebih premium. Setiap restoran juga menghadirkan konsep berbeda demi memberikan pengalaman menarik untuk pembeli. Salah satu yang cukup menarik ada di restoran Sepiring Padang yang terletak di Kelapa Gading, Jakarta Utara. Keunikan yang ditonjolkan dari restoran ini adalah adanya menu yang bisa dipesan tanpa harus memilih menu yang disajikan pada piring-piring kecil. ""Jadi pengunjung bisa mencicipi menu favorit di rumah makan padang dalam satu piring,"" kata Business Management Development Manager Sepiring Padang, Elvina saat ditemui di Kelapa Gading, Jakarta Utara, Rabu, 5 September 2018. Dia melanjutkan, untuk menu tersebut terdapat dua pilihan yakni menu komplit dan menu spesial. Untuk menu komplit terdiri dari delapan macam makanan seperti paru rendang, dendeng batako, ayam (bisa pilih ayam goreng, ayam pop atau ayam bakar), jengkol pedas, terong cabai hijau hingga perkedel dan lalapan.  Sedangkan untuk menu spesial tidak dilengkapi dengan dendeng batako. Seporsi menu komplit dibanderol sebesar Rp98 ribu dan menu spesial sebesar Rp57 ribu. Keunikan lainnya dan membedakan restoran ini dengan restoran padang lainnya adalah, adanya menu level pedas seperti ayam pop, gulai ayam, gulai kikil dan gulai cincang. Untuk levelnya sendiri mulai dari level 0 hingga level 3. Levelnya ini pun bisa terlihat dari piring penyajian yakni mangkuk putih untuk level 0, mangkuk merah muda untuk level 1 (1 sendok sambal), mangkuk ungu untuk level 2 (2 sendok sambal), dan mangkuk merah untuk level 3 (3 sendok sambal). ""Kita sediakan level pedas, karena kalau ke restoran Padang kita jarang menemukan rasa pedas. Dan orang Jakarta suka pedas makanya kita buat menu ini,"" kata dia. Selain itu, yang membedakan antara restoran ini dengan restoran lainnya adalah adanya paru rendang yang disajikan kering. ""Kalau biasanya paru rendang disajikan basah tapi kita kering. Jadi mereka bisa bawa pulang tanpa repot,"" jelas dia. Jika Anda ingin tetap menikmati menu makanan Padang di sini seperti di restoran Padang lainnya, bisa membeli makanan dengan cara terpisah. Untuk kisaran harganya Rp10 ribu sampai Rp100 ribu. ""Untuk harga kita sama dengan restoran Padang lainnya berkisar Rp10 ribu sampai Rp100 ribu. Kalau Rp100 ribu itu untuk gulai kepala kakap. Kalau ayam Rp17 ribu, dan harga ini lebih murah dibanding restoran lainnya,” ucapnya. "
Penampakan Rumah Mewah Kylie Jenner Seharga Ratusan Miliar;https://www.viva.co.id/gaya-hidup/hunian/1072110-penampakan-rumah-mewah-kylie-jenner-seharga-ratusan-miliar;"VIVA – Kylie Jenner menjadi wanita paling muda yang masuk dalam daftar Forbes karena kekayaan yang diperoleh dari usaha sendiri. Kekayaan bersih wanita 21 tahun itu mencapai Rp13 triliun. Tak heran jika adik tiri Kim Kardashian ini bisa membeli apapun yang diinginkan dengan uangnya, termasuk rumah mewah. Dan belum lama ini, dia memamerkan beberapa sudut rumah mewahnya kepada para pengikutnya di Instagram.  Dikutip dari Metro, ibu satu anak itu menunjukkan beberapa bagian di rumahnya. Dari foto dan video yang diunggah, rumahnya yang terletak di Hidden Hills, California itu merupakan bangunan dengan arsitektur abad ke-17. Rumahnya memiliki jalan masuk yang sangat luas, dengan beberapa mobil berada di halaman rumah. Selain itu, ada dua kolam renang berukuran besar, balkon luas dan lapangan tenis berwarna biru cerah. Tak cuma itu, dari balkon rumahnya, terlihat pemandangan bukit yang indah.  Rumah seluas 1.200 meter persegi ini dibelinya pada 2016 lalu dan merupakan rumah terbesar yang dimilikinya. Adapun harga rumah mewah itu sekitar Rp162 miliar. Rumah ini hanya sebagian kecil dari harta kekayaan yang dimiliki kekasih Travis Scott. Dia memiliki tiga properti lain yang juga tak kalah mewah.  Kekayaan Kylie didapat dari Kylie Cosmetics yang diluncurkan dua tahun lalu. Dari perusahaan kosmetiknya itu, anak termuda klan Kardashian-Jenner ini berhasil meraih kesuksesan dan mengumpulkan pundi-pundi kekayaan yang membawanya masuk dalam daftar Forbes. Bahkan, dia mengalahkan kakak tirinya, Kim Kardashian dalam daftar tersebut. Dan mengesankannya, Kylie, yang melahirkan putrinya bernama Stormi pada bulan Februari lalu adalah pemilik 100 persen perusahaan yang didirikannya. Caranya mempromosikan produk yang akan diluncurkan melalui media sosial membantu produknya kerap habis hanya dalam hitungan menit.  ""Media sosial adalah platform yang luar biasa. Saya memiliki akses yang mudah ke penggemar dan pelanggan saya,"" katanya.  "
Restoran Ini Larang Anak di Bawah 14 Tahun;https://www.viva.co.id/gaya-hidup/inspirasi-unik/1072120-restoran-ini-larang-anak-di-bawah-14-tahun;"VIVA – Pemilik sebuah restoran di Binz, Jerman, mendapat kecaman karena melarang anak-anak berusia 14 tahun atau lebih muda dari itu, memasuki restorannya setelah pukul 17.00. Rudolf Markl, pemilik Oma's Kuche (Dapur Nenek), sebuah restoran tradisional di Binz, di pulau Jerman Rugen mengatakan bahwa dirinya sangat muak dengan amukan dan tingkah laku anak-anak akhir-akhir ini, sehingga membuat keputusan ekstrem untuk melarang mereka datang ke restorannya saat sore menjelang malam hari. Dia bahkan memasang tanda di dekat pintu masuk agar pelanggan tahu bahwa di malam hari, Oma’s Kuche adalah restoran khusus dewasa. Meskipun dituduh melakukan diskriminasi, Markl mengatakan bahwa langkah ini sudah lama direncanakan. ""Kami entah bagaimana telah mencapai titik di mana Anda berkata, 'Ini tidak bisa terus seperti ini'. Kami tidak di sini untuk membesarkan anak-anak, tetapi untuk memanjakan tamu kami,"" kata Markl, seperti dilansir dari Oddity Central.  Dia menuturkan bahwa perilaku anak-anak dan orangtua mereka secara bertahap semakin memburuk dalam beberapa tahun terakhir. Anak-anak akan menarik taplak meja, menuangkan gelas-gelas anggur atau lari ke pelayan ketika mereka membawa beberapa piring atau nampan. Sementara orangtua mereka mengabaikannya atau hanya tersenyum melihat kelakuan anaknya. Namun, puncaknya terjadi baru-baru ini, ketika sejumlah anak merusak inventaris restoran hingga membuat beberapa foto antik rusak. Bernhard Franke, yang bertindak sebagai Kepala Kantor Anti-Diskriminasi Jerman mengatakan bahwa keputusan Rudolf Markl untuk melarang anak-anak berusia 14 tahun atau lebih muda datang ke restorannya secara hukum dipertanyakan. Dia mengklaim bahwa pemilik harus punya alasan serius untuk menolak mereka, dan bahwa argumen seperti tingkat keributan karena mengganggu tamu lain belum tentu cukup. Sementara Markl menolak tuduhan diskriminasi. Menurutnya, tindakan itu tidak dimaksudkan untuk menghukum anak-anak, tetapi orangtua yang tidak bisa mengendalikan anak-anak mereka. Markl menambahkan bahwa dia ingin restorannya menjadi oase kedamaian untuk para tamunya, dan itu tidak mungkin terjadi jika anak-anak berkeliaran dan menyebabkan keributan sepanjang waktu. Yang menarik, ini bukan pertama kalinya sebuah restoran menjadi berita utama karena menolak kehadiran anak-anak. Tahun lalu, pemilik restoran elit Italia di Mooresville, North Carolina, juga sempat mendapat sorotan media karena melarang masuk anak-anak di bawah usia lima tahun. "
Cari Tahu Fakta Unik Seputar Sperma, Nomor 4 Bikin Geli;https://www.viva.co.id/gaya-hidup/kesehatan-intim/1072053-cari-tahu-fakta-unik-seputar-sperma-nomor-4-bikin-geli;VIVA – Sel sperma atau spermatozoid merupakan substansi penting dari kehidupan seorang pria karena bertanggung jawab dalam sistem reproduksi dan memperoleh keturunan. Sel sperma diproduksi oleh kelenjar testis seumur hidup seorang pria. Sel sperma inilah yang nantinya akan membuahi ovum atau sel telur yang dihasilkan oleh wanita untuk kemudian membentuk zigot. Nah, selain berperan dalam sistem reproduksi, kira-kira apalagi ya fakta menarik dari sperma? Yuk, simak fakta menarik berikut. Berapa lama sperma dapat hidup? Waktu hidup sperma dapat berbeda-beda, tegantung beberapa faktor, salah satunya adalah di mana sperma berada. Apabila sperma berada di permukaan yang kering seperti pakaian atau selimut, maka sperma akan mati saat air mani mengering. Sedangkan saat di dalam air hangat atau bak mandi air panas, sperma mungkin dapat hidup dalam waktu yang lebih lama. Ini karena sperma memang memiliki tempat hidup yang lembap dan hangat.  Baca Selengkapnya ... 
Siap-siap, Oktobeerfest Bakal Digelar Lagi di Jakarta;https://www.viva.co.id/gaya-hidup/inspirasi-unik/1072125-siap-siap-oktobeerfest-bakal-digelar-lagi-di-jakarta;"VIVA – Jika setiap tahunnya di Jerman, khususnya di kota Muenchen selalu menggelar festival diberi nama Oktoberfest, kini acara serupa bisa dijumpai di Jakarta. Festival dengan nama Pizza E Birra Oktobeerfest 2018 ini bisa dinikmati di Piazza, Gandaria City, Jakarta Selatan pada 28-29 September 2018 mendatang. ""Jadi Oktobeerfest ini mengacu kepada Oktoberfest yang mana itu adalah sebuah gelaran festival yang diadakan di kota Munich di Jerman setiap tahunnya untuk ramai-ramai minum bir bersama,"" kata Ayu Paramita, Public Relation Manager Ismaya Group saat ditemui di Kota Kasablanka Mall, Jakarta Selatan, Rabu, 5 September 2018. Festival ini dibuka dengan hadirnya beberapa menu baru di Pizza E Birra, seperti Beef Meatloaf, Chicken Schitzel dan Apple Strudel Roll, yang akan tersedia mulai 7 September hingga 7 Oktober 2018. Selain itu, bagi para penggemar bir juga bisa mengikuti Beer Pong Tournament Session XVII mulai 5-23 September 2018. ""Beer Pong sendiri merupakan sebuah permainan melempar bola pingpong ke dalam cangkir lawan, jika masuk lawan harus meneguk segelas bir,"" kata Ayu.  Pada puncak acara yang rutin digelar untuk ketiga kalinya ini akan menyajikan penampilan dari beberapa band ternama, seperti Naif, Feast, Icons dan Matter Halo. Selama festival yang dikenai biaya Rp170 ribu itu, pengunjung bisa menikmati bir sepuasnya.  "
Madonna Dandani Anak Ulang Tahun Pakai Gucci Puluhan Juta;https://www.viva.co.id/gaya-hidup/gaya/1072083-madonna-dandani-anak-ulang-tahun-pakai-gucci-puluhan-juta;"VIVA – Madonna menggelar pesta ulang tahun ke-13 putra angkatnya, David Banda. Diva pop dunia itu mengundang musisi dan penari untuk meramaikan acara. Ibu enam anak tersebut mengunggah foto bersama putranya dalam akunnya di media sosial. David tampak menggunakan busana glamor dari label Gucci dari ujung kepala hingga kaki. ""Happy Birthday To My lucky #13! Rise Above all limitations! #banda #birthday #blessings,"" tulisnya dalam keterangan foto. Dalam pesta itu, David mengenakan setelan senada. Dikutip dari Bet.com, jaket jersey dari Gucci yang dikenakan punya harga Rp34,5 juta, sedangkan celana jogger senilai Rp22,5 juta.  Setelan berwarna cokelat bermotif itu dipasangkan dengan sandal hitam Dapper Dan dari label yang sama, dengan harga Rp7 juta. Dengan begitu, total harga item fesyen Gucci yang dikenakan remaja tersebut mencapai Rp64 juta. Penyanyi 60 tahun itu juga mengunggah foto David bersama dengan saudara perempuannya, Mercy James (12), Stella dan Estere (5). Mereka juga berpenampilan glamor dalam balutan label Gucci. Selain foto, Madonna pun memamerkan video yang menunjukkan dia bersama teman dan keluarganya, tengah menari dengan diiringi musik khas negara asal anak angkatnya. Sekadar informasi, Madonna mengadopsi David pada tahun 2006, sementara Mercy James dan si kembar Stella dan Estere pada tahun 2009. Mereka semua berasal dari Malawi. Dia juga memiliki dua anak kandung, yakni Lourdes Maria Ciccone Leon (21) dan Rocco Ritchie (17). "
