Title;Url;Berita
Bukan Xenia, Ini Mobil Baru Daihatsu Pesaing Ertiga;https://www.viva.co.id/otomotif/mobil/1072201-bukan-xenia-ini-mobil-baru-daihatsu-pesaing-ertiga;VIVA – Pasar mobil keluarga kasta terendah di Asia Tenggara cukup besar, baik di Indonesia maupun Malaysia. Mobil jenis ini banyak disukai karena mampu digunakan untuk berbagai keperluan dan bisa membawa banyak penumpang. Jika di Indonesia Suzuki Ertiga harus bersaing dengan Daihatsu Xenia, maka di Negeri Jiran situasinya berbeda. Ertiga yang dipasarkan oleh Proton menjadi rival dari Perodua Alza. Perodua adalah agen pemegang merek Daihatsu di negara tersebut. Dilansir dari Paultan, Kamis 6 September 2018, Alza baru saja mendapat penyegaran. Mobil berkapasitas tujuh penumpang itu dibekali dengan bumper dan grille baru. Interiornya juga dibuat berbeda, baik pelapis jok maupun sistem hiburannya. Mobil ini memiliki panjang 4,2 meter, lebar 1,69 meter dan tinggi 1,62 meter. Jika dibandingkan dengan Ertiga, maka dimensi Alza sedikit lebih kecil. Jarak rodanya lebih panjang 10 milimeter dari mobil andalan Suzuki tersebut.  Mesinnya masih mengandalkan model lama, yakni 3SZ-VE empat silinder berkapasitas 1.500 cc. Mesin tersebut sama seperti yang dipasang di Toyota Avanza dan Daihatsu Xenia generasi lawas. Tersedia dalam empat model, harga yang ditawarkan untuk Alza mulai dari 51.490 Ringgit, atau setara dengan Rp185 jutaan.  
Pemerintah Larang Impor Mobil Mewah, Importir Menjerit: Nasib!;https://www.viva.co.id/otomotif/mobil/1072203-pemerintah-larang-impor-mobil-mewah-importir-menjerit-nasib;VIVA – Untuk menekan neraca perdagangan, pemerintah melarang impor mobil mewah dengan kapasitas mesin di atas 3.000cc. Oleh sebab itu, importir umum seperti Prestige Image Motorcars tentu terkena imbasnya, karena semua mobil yang dijual rata-rata 3.000cc ke atas. “Nasib, banyak-banyak doa saja, soalnya saya belum masukin lagi. Karena yang kemarin saja belum laku. Terakhir saya impor sebulan lebih, sudah lama juga,” ujar Presiden Direktur Prestige Image Motorcars, Rudy Salim kepada VIVA. Tapi menurutnya, dengan aturan tersebut akan menimbulkan kecemburuan sosial, karena ada konflik horizontal. Dia mengatakan, dalam artian media memberitakan soal kenaikan dolar disebabkan barang mewah, menurutnya persepsi itu tidak tepat. “Padahal itu tidak tepat, karena dari barang mewah ini hanya 0,03 persen hampir tidak ada efeknya. Tapi dengan dibilang Lamborghini, Ferrari ada satu objek yang disalahkan, padahal enggak berkontribusi, kayak setetes air (penjualannya),” tuturnya. Rudy mengatakan, dalam jangka waktu satu tahun saja, pihaknya belum tentu bisa menjual dua unit. “Makanya, paling kami masukin mobil tiga unit setahun dan itu enggak mungkin bisa menggoyangkan ekonomi,” katanya. “Dengan adanya begitu, lapangan pekerjaan jadi dikurangi. Aftersales menggunakan tenaga lokal akan terpaksa berkurang. Jadi dampaknya selain konflik horizontal, nanti masyarakat yang kurang paham akan menyalahkan orang-orang kaya, jadi ada konflik,” sambungnya.    
Cara Bikin Ban Awet saat Sering Lewat Jalan Beton;https://www.viva.co.id/otomotif/tips/1072190-cara-bikin-ban-awet-saat-sering-lewat-jalan-beton;"VIVA – Agar pengguna jalan lebih nyaman saat memacu kendaraannya, lapisan aspal digunakan hampir di seluruh wilayah Tanah Air. Meski demikian, ada beberapa ruas jalan yang menggunakan pelapis dari beton. Hadirnya dua jenis jalan tersebut rupanya menimbulkan pertanyaan dari pemilik kendaraan. Jalan mana yang lebih mempengaruhi tingkat keausan pada ban mobil. Mobil yang kerap melewati jalanan berlapis beton, diungkapkan Deputy General Manager PT Yokohama Tyres Indonesia, Eka Satria, lebih cepat memangkas usia ban kendaraan alias lebih boros. ""Beton lebih kasar, jadinya lebih cepat memangkas ban saat melintasinya. Tapi, sebenarnya semuanya itu kembali lagi bagaimana pemilik kendaraan mengendarai,"" kata Eka di Jakarta Selatan, Kamis 6 September 2018.  Ia juga menegaskan, kebiasaan pengendara saat memacu kendaraannya di jalan sangat berpengaruh pada umur ban yang digunakan.  ""Kalau pemakainya enggak zig-zag saat berkendara, enggak ngebut, enggak sering mengerem mendadak, biasanya usia ban akan lebih awet. Tapi, kalau secara terus menerus melakukan hal itu, ya memang usianya akan lebih cepat,"" tuturnya. (ren) "
Importir Setop Datangkan Mobil Mewah, Bukan karena Dilarang;https://www.viva.co.id/otomotif/mobil/1072196-importir-setop-datangkan-mobil-mewah-bukan-karena-dilarang;VIVA – Pemerintah melarang impor kendaraan mewah, terutama yang bermesin 3.000 cc ke atas. Menurut Kementerian Perindustrian, larangan tersebut sudah dibicarakan dengan para importir umum mobil-mobil mewah. Hal tersebut disampaikan langsung oleh Direktur Industri Maritim, Alat Transportasi dan Alat Pertahanan Kemenperin, Putu Juli Ardika. Dia mengatakan, berlakunya larangan impor kendaraan mewah sudah dimulai sejak rupiah terkoreksi, yakni dua bulan lalu. “Kemarin itu yang datang ke saya, menyampaikan importir dalam kondisi ekonomi ini juga sulit untuk menjual. Sudah ada komunikasi (dengan importir),” ujarnya di Jakarta, Kamis 6 September 2018. Menurutnya, para pedagang mobil mewah sudah memahami larangan tersebut, dan bersedia menghentikan impor. “Kami lihat rupiah tergerus terus. Beliau (importir) bilang memahami juga keadaan ekonomi,” tuturnya.  Saat VIVA meminta konfirmasi ke Presiden Direktur Perstige Image Motorcars, Rudy Salim, dirinya mengaku belum ada pembicaraan apa-apa dengan Kemenperin. Bahkan, pemilik importir umum mobil mewah tersebut tidak tahu kalau larangan impor sudah berlaku. “Para importir siapa? Enggak ada (pembicaraan), belum ada. Tapi yang pasti, kami juga lagi setop impor dulu. Jadi, enggak usah dibuat peraturan itu pun pasarnya juga berat, karena harganya terlalu mahal dan pasarnya enggak mendukung,” ungkapnya. 
Harga Miring, Banyak Masyarakat Tanya DFSK Mobil Buatan Mana;https://www.viva.co.id/otomotif/mobil/1072194-harga-miring-banyak-masyarakat-tanya-dfsk-mobil-buatan-mana;"VIVA – Dongfeng Sokon atau DFSK menjadi pemain baru di pasar otomotif Tanah Air. Kehadirannya melalui diler-diler resmi ternyata cukup membuat masyarakat penasaran. Apalagi harga yang ditawarkannya terbilang miring ketimbang kompetitor setipe. Branch Manager Diler DFSK Bandung, Tatang Cahyadi mengatakan, saat melihat produk mobil asal China tersebut selalu ada saja masyarakat yang merasa penasaran dan ingin mengetahui produknya. ""Selalu orang tanya, 'Ini mobil apa? Mereknya apa? Asal dari mana?' Itu yang bikin kami harus terus memperkenalkan mereknya,"" kata Tatang di Bandung, Rabu 5 September 2018. Tatang menceritakan, beberapa konsumen yang datang ke diler pun bertanya terkait merek DFSK. Sebab sangat jarang merek mobil yang memiliki nama dengan singkatan empat huruf dan merupakan huruf mati. Namun, kata Tatang, pengalaman ini yang justru menjadi tantangan tersendiri dalam proses menawarkan produk SUV DFSK Glory 580. Dia mengatakan, saat konsumen sudah penasaran dan menyempatkan waktu untuk menyambangi diler, maka dia bersama tim-nya pun tak segan untuk menawarkan untuk mencoba langsung mobil produksi lokal tersebut. ""Hampir semua yang datang ke diler sini, kami ajak test drive. Sebab, mobil China kan sempat punya imej buruk di masyarakat, maka kami persilakan untuk mencoba dulu,"" ujarnya. Diketahui saat ini DFSK baru memiliki satu diler di Kota Kembang dengan layanan penjualan, perawatan, hingga penyedia sukucadang bagi mobil SUV Glory 580 dan pikap Super Cab yang sudah beredar di pasaran. Nantinya PT Sokonindo Automobile menargetkan menambah satu diler lagi guna melayani warga Bandung. "
Pembeli Mobil China Kebanyakan Lebih Pede Beli Mengangsur;https://www.viva.co.id/otomotif/mobil/1072191-pembeli-mobil-china-kebanyakan-lebih-pede-beli-mengangsur;"VIVA – Dongfeng Sokon Glory 580 menjadi pilihan baru bagi penggemar sport utility vehicle di Tanah Air. Mobil ini bisa dibeli dengan cara tunai maupun kredit. Untuk pembelian kredit, merek pendatang baru ini sudah bekerja sama dengan perusahaan pembiayaan di Indonesia. Managing Director of Sales Center PT Sokonindo Automobile, Franz Wang mengatakan, kerja sama tersebut untuk memudahkan konsumen yang membeli mobil dengan sistem kredit. ""DFSK juga sudah banyak bekerja sama dengan beberapa lembaga pembiayaan seperti Mandiri Tunas Finance, Adira Finance, dan BCA Finance,"" kata Franz di Bandung, Rabu 5 September 2018. Menurut Franz, cara pembelian tunai juga kerap dilakukan oleh konsumennya. Bagi yang memiliki dana lebih, maka pembelian tunai dianggap lebih mudah. ""Ada juga yang memang suka membeli dengan cash, karena proses membeli secara kredit ada proses atau tahapan yang harus dilalui dan butuh waktu sampai disetujui. Kalau cash bisa langsung dan cepat,"" ujarnya. Sementara itu, Marketing General Manager PT Sokonindo Automobile, Permata Islam mengatakan, sampai saat ini pembeli kredit jauh lebih banyak. ""Memang lebih banyak yang secara kredit karena dukungan dari lembaga pembiayaan sudah cukup banyak. Pembeli itu paling banyak yang varian Luxury yang tertinggi, dan kalau dilihat banyak dari segmen yang cukup mampu dan mereka sudah tahu fitur mobilnya,"" kata dia. "
Impor Mobil Luks Disetop hingga Tak Lagi Jadi Mewah;https://www.viva.co.id/otomotif/mobil/1072189-impor-mobil-luks-disetop-hingga-tak-lagi-jadi-mewah;"VIVA – Mata uang rupiah yang terus melemah, membuat pemerintah melakukan berbagai cara untuk memperbaikinya. Caranya adalah dengan meningkatkan jumlah ekspor kendaraan, dan menetapkan larangan impor mobil mewah dengan kapasitas mesin di atas 3.000 cc. ""Kami batasi impor mobil di atas 3.000 cc. Karena saat sekarang, produksi nasional sendiri kapasitasnya sudah bisa mencapai dua juta unit,"" ujar Menteri Perindustrian, Airlangga Hartarto di Jakarta, Rabu 5 September 2018. Ia mengatakan, kebutuhan mobil dalam negeri itu bisa dipenuhi dari para produsen yang sudah melakukan lokalisasi produknya. ""Hari ini kami saksikan sudah bisa melakukan ekspor (Toyota). Sebetulnya tidak ada kepentingan lagi untuk impor kendaraan,"" tuturnya. Saat disinggung, hingga kapan larangan impor mobil mewah tersebut berlaku. Ketua Umum Partai Golkar tersebut mengatakan, sampai barang itu tidak menjadi mewah lagi.  Sementara, Direktur Industri Maritim, Alat Transportasi dan Alat Pertahanan Kemenperin, Putu Juli Ardika menjelaskan, masa penerapan larangan mobil mewah itu berlaku tergantung kondisi ekonomi. ""Sekarang itu benar-benar setop untuk yang kelas 3.000 cc. Dalam keadaan ekonomi sekarang, mobil itu kan bukan kebutuhan pokok. Transportasi pakai produk dalam negeri dulu,"" tuturnya di Jakarta, Kamis 6 September 2018. "
Banyak yang Belum Tahu, Ban Juga Punya Kedaluwarsa;https://www.viva.co.id/otomotif/tips/1072054-banyak-yang-belum-tahu-ban-juga-punya-kedaluwarsa;"VIVA – Ban merupakan komponen wajib bagi setiap kendaraan. Tanpa ban, kendaraan bermotor baik mobil maupun sepeda motor tidak akan bisa berjalan dengan mulus.  Namun nyatanya masih belum banyak yang tahu jika ban memiliki kedaluwarsa. Sama seperti yang lain, ban yang melewati batas waktu penggunaan berbahaya bagi kendaraan. Hal ini tentunya bisa  memengaruhi keselamatan pengendara.   Hal itu diungkapkan Deputy General Manager PT Yokohama Indonesia, Eka Satria. Ia menyebut masa kedaluwarsa ban umumnya adalah berumur lima tahun sejak diproduksi oleh pabrikan.   ""Ada, karena dari pabrik sendiri lima tahun sejak diproduksi. Jadi enggak usah khawatir kalau misalnya ban ada yang 2017-2016 karena masih bagus, asal dari distributor menyimpannya benar. Jadi kalau penyimpanan baik ya lima tahun,"" kata Eka di Jakarta, Rabu, 5 Agustus 2018. Selain itu,  Eka menegaskan pemilik kendaraan harus memperhatikan penyimpanan ban saat hendak membeli. Karena penyimpanan yang baik berpengaruh pada kondisi piranti tersebut. ""Tidak di bawah sinar matahari, angin keluar masuk cukup, tidak kena air hujan.  Sama saja penyimpanan ban. Ban itu tetap bulat hitam jadi sama saja,"" ujarnya. "
Rupiah Melemah, Produsen Ban Putar Otak;https://www.viva.co.id/otomotif/1072006-rupiah-melemah-produsen-ban-putar-otak;"VIVA – Nilai tukar rupiah terhadap dolar Amerika Serikat terus melemah, bahkan telah menembus hingga Rp15 ribu. Keadaan ini merupakan titik terendah sepanjang 2018.  Produsen ban pun ketar-ketir terhadap hal tersebut.  Sebab salah satu faktor kenaikan harga komponen kendaraan yang dibeli secara impor yakni dipengaruhi nilai tukar rupiah. Deputy General Manager PT Yokohama Indonesia (YHI), Eka Satria mengatakan, pihaknya bakal segera melakukan evaluasi terkait nilai tukar dolar yang masih belum stabil hingga saat ini.  ""Jadi kami melihat bagaimana pasar ke depannya, sehingga bisa memenuhi market share atau penjualan yang ada. Pasti kena pengaruh yang memang besar itu otomatis, karena kami melakukan impor,"" kata Eka di Jakarta, Rabu, 5 September 2018. Namun demikian, distributor ban Yokohama ini mengaku memiliki strategi khusus, untuk bisa bersaing dengan produsen ban yang telah memiliki pabrik atau melakukan produksi di Indonesia.  ""Karena begini, kami akan memilih segmen-segmen yang memerlukan, seperti di ukuran 19 inci dan 20 inci. Karena lokal manufacturing belum memproduksi ukuran seperti itu,"" ujar dia.  "
Mau Bikin Kabin Mobil Lebih Senyap, Pakai Cara Ini;https://www.viva.co.id/otomotif/1071983-mau-bikin-kabin-mobil-lebih-senyap-pakai-cara-ini;"VIVA – Produsen ban asal Jepang, Yokohama lewat sole distributornya PT Yokohama Indonesia meluncurkan produk terbaru, Yokohama Advan dB V552.  Marketing Manajer YHI, Tejo Andriastono mengklaim produk barunya itu punya tingkat energi kebisingan lebih rendah sekitar 30 persen. Sehingga lebih senyap dibanding sebelumnya dB V551.  ""Ban ini merupakan ban comfort premium yang dikembangkan untuk menghasilkan kesenyapan optimal sehingga atmosfer kabin mobil lebih tenang,"" kata Tejo di Jakarta, Rabu, 5 Agustus 2018.  Menurutnya, tingkat kebisingan yang lebih rendah tersebut dihasilkan berkat desain ulang yang mencakup semua elemen pada ban mulai profile hingga struktur. Efisiensi bahan bakar pun diklaim lebih baik.  ""Pola telapak baru, pemilihan kualitas material terbaik, serta profile baru yang mampu menurunkan tingkat kesenyapan tanpa mengurangi kemampuan ban di berbagai kondisi, "" ujarnya.  Ia menjelaskan, Yokohama Advan dB V552 ini ditawarkan dengan 45 pilihan ukuran yang mulai dari 14 inci hingga 20 inci. Ban ini diklaim mampu mengakomodasi berbagai jenis kendaraan mulai sedan, multi purpose vehicle, compact, hybrid hingga mobil listrik.  ""Ban ini cocok untuk mobil-mobil premium atau mereka yang ingin kendaraannya tampil premium,"" tuturnya. Untuk pasar Indonesia, produk tersebut dijual dengan harga mulai Rp1 jutaan hingga Rp3 jutaan. Ban ini diketahui memiliki jarak pengereman dalam kondisi basah enam persen lebih pendek dan hambatan gulir lima persen lebih rendah dari V551. Laporan : Misa/Jakarta "
